text,Optimistic,Pessimistic,Sad,Surprise
اي حيل محظوظين ومن ضفناج واحنا بازمة كورونا,0,0,1,0
دام هالشهر شهر الكذابين أتمنى كورونا تطلع كذبة ابريل,0,0,0,1
"    \الانتهاء من الأزمة يفتح بوابة لعالم جديد في التركيبة الاجتماعية والعلاقات الإنسانية\"".",0,0,0,1
 أنا متفائل ب كورونا إنه هيخلصنا من الظالمين إن شاء الله,1,0,0,0
اليوم ومع الاسف الشديد تاكدت اصابتي بمرض كورونا     احتاج دعواتكم .,0,0,1,0
" العنصرية والكِبْر أخطر من كرونا بكثييير ، وسيتجلّى ذلك في قادم الأيام..",0,0,0,1
           الأزمات تكشف الحكومات..  بأختصار:  (الله اللي عزنا مالحد منّة),1,0,0,0
 جزاكم الله خيرا دكتورنا على هذا العطاء المبارك والأهم استمراره حتى بعد زوال كورونا  (فرح)  (فرح) ,1,0,0,0
بكورونا او بدون كورونا يبقى الابتعاد عن الناس فكرة عظيمة جدا  (تأكيد) ️,1,0,0,0
يارب تخلص ازمة كورونا على خير ابا امارس حياتي الطبيعيه (حزين مخيب) ,1,0,0,0
فيروس كورونا أعاد الانسان الى المربع الاول (وخلق الإنسان ضعيفاً ) ,0,0,0,1
 لا لا إن شاء الله يصحينا خبر علاج كورونا,1,0,0,0
التقليل من عدد العاملين اثناء الحظر يساعد على الحماية من الإصابة بفايرس كورونا     وقف سيارات الأغاني المزعجة    منع التجمعات بين العاملين,1,0,0,0
 واحنا يهمنا اية الموضوع عندة كورونا ولا معندوش,0,0,0,1
والله يا كورونا حاسنا حوس 🥺    الله يعينا ويصبرنا ويكتب اجرنا ويرزقنا على صبرنا وبعدنا عن اهلنا  (قلب_مجروح) ,1,0,0,0
 علمتنا درساً في غاية الأهمية :  عندما تبقى وحيداً ستنجو .. وعندما تتبع القطيع ستموت (قلب) ,1,0,0,0
عيناك كفايروس كورونا تقتلني وقلبك ك ترامب لا يبالي,0,0,0,1
بعض الدول اوشكت على المجاعه بسبب كورونا    خلال اسبوع او أكثر سوف تتوقف عن حملة خليك في البيت,0,1,0,0
 مرض العنصرية اقوى واشد بمراحل من كورونا,0,0,1,0
يحرقون جثث ضحايا كورونا في الشارع  لعدم استجابة السلطات,0,0,0,1
على رغم الخسائر في الارواح والاموال التي الحقها كرونا بالبشرية إلا انه قرب الناس من الله واعاد الكثير منهم إلى آدميتهم,1,0,0,0
 ما علمي حلفا بس بدك الجد ما حدا خارب البلد الا هل الزمك باسيل مرض خبيث ومتفشي اكتر من كورونا,0,1,0,0
عندي إحساس بلي هاد سيمانة غيكولو لينا أن كورونا 🦠مجرد كذبة أبريل  (مبتسم_قليلا)  .,0,0,0,1
من كل قلبي قاعد انتظر اللحظه اللي يعلنون فيها عن شفاء آخر حالة كورونا بالعالم وانعدام المرض ونرجع لحياتنا الطبيعيه والروتين اليومي.,1,0,0,0
 هو لو مرض تعالج بفلوسه لكن كورونا صعب يرجعونه تخيلي بلدته فقيره جدا راح ينشر الوباء للمساكين هناك هذا وباء مو مرض عادي,0,1,1,0
وزير الصحة يكول ان اذا الناس التزموا ١٠٠٪ والله عطف علينة ف ممكن بنص حزيران نتخلص من كورونا,1,0,0,0
1 ابريل .. مايعرف بكذبة ابريل وحضرت على غير المعتاد ( كورونا ) ليعيش العالم بواقعية مؤلمه,0,0,1,0
 استاذه مسك متى تتوقعين نهايه كورونا في السعوديه وعوده الحياهه طبيعيه,0,0,0,1
ختخلّص فقرة كورونا والحظر.. كل يوم بنزّل عشا بالفريج.. بوفيه من اول فريجنا لي آخره! وبحسب حساب القطع الأخرى كذلك!,1,0,0,0
عايزه اقول ان كورونا عامله مسافه وبين صحابي القريبين مضايقاني يعني انا عايزه ابوس صاحبتي واحضنها ليه اسلم عليها من بعيد كده بجد,0,0,1,0
الله اكبر الجزائر تعلن عن إيجاد دواء لفيروس كورونا على يد فريق بحث يقوده العالم لوط بوناطيرو,1,0,0,0
الحوثيين قالوا لأهل السجناء الذين طالبوهم بإطلاق سراح أبنائهم خوفا عليهم من كورونا رد الحوثيين بأن المعتقلين في حجر صحي  بالسجن,0,0,1,0
" أكيد يموت، لأن كورونا تنتعش وتحيا في الرئتين",0,0,1,0
احلى خبر سمعته اليوم شفاء اول حاله كورونا (للحاج ),1,0,0,0
 من فوائد كورونا طلّعت حقيقتهم ونقص عقولهم ,1,0,0,0
 هي هذا اللي انا نحكي عليه قريتها و نسيتها بس هل كورونا زي الطاعون او لا,0,0,0,1
 علمتنا الصبر..علمتنا التسامح مع الغير و مع أنفسنا,1,0,0,0
 بالفعل كورونا نعمة ... لله في خلقه شؤون . وعسى أن تكرهوا شيئا وهو خير لكم . صبحچ الله بالخير .,1,0,0,0
لو قسمة جاتا كرونا لا قدر الله لا قدر الله انا ما حعرس وحموت بي وراها,0,1,0,0
دعواتنا هذه الأيام: يارب ارفع عنا قبل رمضان,1,0,0,0
تمنيت كل هالاوضاع الا عايشينها بسبب كورونا يطلع كذبة ابريل  (قلب_مجروح)  ,0,0,0,1
 احد يعلم الخرا هذا ان كورونا جائحة عالمية (بكاء) ,0,1,1,0
 الكويت بلد الإنسانية من قبل ازمه كورونا والأعمال الخيريه كثيره,1,0,0,0
كورونا ستعيد ترتيب العلاقات الدولية و تغير موازين القوى في العالم.,1,0,0,0
لا يأتي من الله إلا الخير لعل ف     خير كثير لا يعلمه إلا المولى عز وجل,1,0,0,0
 _ان شاء الله نخلص من كورونا والأمور ترجع لطبيعتها وناخد افريقيا ..,1,0,0,0
 كورونا مطول اتوقع الحج بيلتغي هذا الموسم,0,1,0,0
رغم كل التصاريح الرسمية الصينية بشأن رحيل كورونا والانتصار عليه إلا أن لدي تحفظ على تلك البيانات الإعلامية الحكومية الصينية  ,0,1,0,0
 هناااك ارتفاع لشعبية اترامب حسب التقارير لحسن تعامله مع ازمة كورونا وتوقعته الصائبه,0,0,0,1
"شفاء أحدى حالات الأصابة بـ في ليبيـا 🇱🇾، و بـ هكي يتقلص العدد الى 9 حالات ...       (حيره)  light_skin_tone ‍ male_sign ️",1,0,0,0
شفاء احدي حالات المصابه بفيروس كورونا ونقص العدد الي 9 حالات (موافق) ,1,0,0,0
 أليس هذا الهدف المنشود من كورونا ؟,0,0,0,1
بعدما تخلص جائحة كورونا لازم نعالج   جائحة الوزن الي ح تصير والأكتئاب!,0,0,1,0
  وينكم يا ربع عمري من بقى ما صك بابه ؟  (حيره) ,0,0,1,0
"يارب انتا عارف ان العريش بتاعت حوارات   مش بتاعت كرونا ..(╯︵╰,)",0,0,1,0
ياتُرى ماهو الأهم الآن ؟  لكندا      ,0,0,0,1
 إنهم يسقطون كما أسقطت كورونا وجوه الكثيرين .. فابتسم يا صديقي,1,0,0,0
بالرغم من الأضرار الكبيرة التي نزلت وستنزل على أميركا من فايروس إلا أنها تستطيع النهوض مجددا بعد زواله وبسرعة فائقه..,1,0,0,0
من يهديني ايتونز؟ (قلب_مجروح)    ,0,0,0,1
تخيلو لو نحن في عام الستينات   هل سوف يصل الينا كورونا بهذه السرعه (حزين مصدوم) ️  من الفضاوه فكرت كذا (حيره)  medium-light_skin_tone ‍ male_sign ️ (إنكار)  (حزين مصدوم) ️,0,0,0,1
مهما تباعـدنا ترى الـود واصل    لو لا ظـروف الوقـت ولاّ كورونا    لـو سكّرت أبواب كـل التـواصل    بأمر الولي انعود للي .. احترونا    ,1,0,0,0
فكرة رائده ومتطورة وجميله  (موافق)  (موافق)    ,1,0,0,0
بسنااا عااد يا كورونا والله اشتقت للجم  (قلب_مجروح) ,0,0,1,0
توقعاتي بعد انتهاء ازمة كورونا مصالحة عربية بين دول الخليج وقطر الخليج الجديد قادم,1,0,0,0
 المقطع محزن وللاسف مع انتشار كورونا قد يسبب الخوف للبعض وخصوصا من لديه مصاب بكورونا في حدود الاسره والاصدقاء والمعارف,0,0,1,0
 دي مقدمة لأول رواية ليك بعد كورونا إن شاء الله  (فرح) ,1,0,0,0
 روووعة باذن الله بعد كورونا نزوره  اذا مسموح,1,0,0,0
 مين مثلي كان ينتظرها تكح ؟  كل مرضى كورونا يكحون إلا هي صامده,0,0,0,1
ضغط جامعه وسوسه من كورونا وحجر منزلي ومنع تجول محتاجة احد يسلفني الصبر والله,0,1,1,0
"كورونا او لا كورونا ، الإبتعاد عن الناس دائما فكرة جيدة  (قلب) ",1,0,0,0
 كورونا .. خبطت الرؤوس ببعضها   والشعب الأمريكي .. لايخفاكم كلمه توديه وكلمه تجيبه ..!!,0,0,1,0
 اص بيخلص كرونا ان شاءالله والكرونا حت قبل الشهر هذا,1,0,0,0
الكائن العلماني والملحد كائنات تحير الفتره دي . لا تعرف تطلب منهم الدعاء ولا تعرف تطلب منهم الدواء .  ,0,0,0,1
على الحكومه توفير علاج الكلوروكين    لعلاج فايروس كورونا  الذي تستخدمه الان كل الدول التي تعاني من فايروس كورونا,0,0,0,1
 ايه اتوقع والسبب انتشار فايروس كورونا,0,1,0,0
 قله يجلس في البيت وإذا خرج الضرورة يلبس القفاز مع الكمام هذا نظام كورونا .,0,0,0,1
ماذا به فقد عقله ...    لا لكنه ملّ من دور الخلوق المؤدب ..    هل هي كورونا .. من غيرته ..    لا كورونا فقط عرته من قناع الحياء والادب,0,0,1,0
بصراحه انا سويت قائمه في بالي اسمها مابعد كورونا ان شاء الله لاشخاص عددهم ٨ وبيكون لهم شي حلو نقطه اذا تتوقع انك منهمم.,1,0,0,0
 اية اخبارك يا رشيد سمعت كورونا غزاك سلامتك,0,0,0,1
رأينا العجب في وسنرى إن شاء الله الأمان وانتهاء الوباء في وسنحظى إن شاء الله بالرضوان في        ,1,0,0,0
بس نتخرج من الحجر الصحي ان شاء الله  راح نوقف كلنا مع بعض ونقط الكمامات بالهوا  ونصوّر صورة جماعية ونكتب عليها كورونا دفعة 2020,1,0,0,0
 ستمر هذه الأيام بإذن الّله وكأنها لمْ تكُن  (قلب) ️,1,0,0,0
والله ازمة كورونا اثبتت ان السعوديه الأولى عالمياً من كل النواحي خاصة ناحية الإنسانية والي مو متفق مع كلامي يطلع برا تويتر,1,0,0,0
 يا منه عايزة كورونا تنتهي عشان نعمل حلقة محبة عشان وحشتوني اوييي,1,0,0,0
اقول متى كورونا يروح نبي نرجع لحياتنا نبي ننبسط شوي,0,0,1,0
 هو انا مجال ملابس وهو مات في مصر من زمان بس بعد كورنا اتخبر مش مات وبس كنت بصدر العراق فخربت الدنيا كلها,0,0,1,0
 او الزيارة ليست لمصاب كورونا لشخص,0,0,0,1
جائحة كورونا ستنتهي عاجلا ام اجلاً وسيتشكّل عالم جديد في علاقاته وتحالفاته وستُرسم سياسات و تُعد أستراتيجيات تختلف عن سابقاته,1,0,0,0
 في تطبيق موعد.                    ,0,0,0,1
سلعتين لااهتم لارتفاع اسعارها بل اتمنى تصل ال١٠٠ ريال للدخان والجراك (المعسل).,0,0,0,1
 العالم باكمله سيخرج من كورونا وكانه خرج من حرب عالمية,1,0,0,0
 عيد ميلاد سعيد   تستاهلي هديه توصلك بعد ما تنتهي أزمة كورونا,1,0,0,0
 يارب يخلص كورونا عسب نقدر نعيد عدل  persevering_face ,0,0,1,0
من كل قلبي قاعد انتظر اللحظه اللي يعلنون فيها عن شفاء آخر حالة كورونا بالعالم وانعدام المرض ونرجع لحياتنا الطبيعيه والروتين اليومي,1,0,0,0
"الوفيات من كورونا اكثر من ٤٠ الف شخص في العالم تخيل انهم قبل شهر ونص تقريباً عايشين حياتهم بشكل طبيعي ، الله يرحمنا برحمته .",0,1,1,0
باقي ٢٠ يوم تقريبا على رمضان وأزمة كورونا للحين مستمره والله ياخذ الصين ويحرقهم.,0,0,1,0
سيدنا آدم نزلنا الدنيا بتفاحه والصينين حيخرجونا من الدنيا بخفاشه  bat  (قلب_مجروح)  ,0,0,1,0
أدري فيك ياالغالي  ماتقصر    شلون كورونا معاكم؟؟    عيالك يروحون المدرسه؟؟  والاّ معطلين مثلنا؟,0,0,0,1
قُلِ اللَّهُ يُنَجِّيكُم مِّنْهَا وَمِن كُلِّ كَرْبٍ  folded_hands  (قلب)      ,1,0,0,0
 و احسن انه ما اروح لانه عاد المره الثانيه يقولنا في حد جاي معهم المجمع فيه اعراض كورونا و ينتظروا نتيجة الفحص (كسل)  (قلب_مجروح) ,0,0,1,0
سبحان الله  حيوانات تتجول في شوارع المدن أثناء انتشار فيروس   ,0,0,0,1
بعد ٢٠٠٠ حالة وفاة بكورونا  تكتشف امريكا اخيرا تفشي الوباء  امر مخجل,0,0,1,0
ترا لسى مقهوره على ميلادي اللي ما احتفلت فيه بسبب كورونا اهخ بس مين راح يعوضني هاليوم العظيم  (حزين مخيب)  (حزين مخيب) ,0,0,1,0
أشتقنا يا حلو والله اشتقنا لكن كورونا مفارقنا,0,0,1,0
عارفين لو مكنش ف كورونا أو حاجه كان هيبقاا التلات و الاربع اللى جايين ذهاب ربع نهائى دورى الأبطال (قلب_مجروح)  (قلب_مجروح) ,0,0,1,0
حنا العايله٩٩٪ راح يجينا كورونا والواحد الباقي سبب دعوات الوالده,0,1,0,0
الحمد لله حمدا كثيرا طيبا مباركا فيه   تسجيل أول حالة شفاء من فايروس كورونا المستجد في ليبيا.,1,0,0,0
ما هو سبب ارتفاع عدد الوفيات في المدينة مقارنة بغيرها من المناطق؟ تقريباً ٦٠٪ من وفيات كورونا بالمملكة في المدينة (٦حالات).,0,0,0,1
وانت طبعا اهبل كفاية تصدق ان نتنياهو جالوا المزعومة كورونا ,0,1,0,0
يارب انت عارف ان ميت غمر بتاعت حوارات مش بتاعت كورونا وعواصف !,0,1,0,0
ولهانه عالناس.. اول ما تخلص كورونا   اي احد بشوفه بلمّه حتى لو ماعرفه,1,0,0,0
كورونا خلاني ارجع ل لودو غصب والمشكلة اني حبيتها  (بكاء) ,0,0,1,0
ما هي هذه المناطق؟!      ,0,0,0,1
 اشرب زنجبيل زعتر شراب صحي يقوي مناعتك هالسوالف تقطك على صخر ويطبع مركبك في بحر كورونا .  وعوافي,0,0,0,1
 ازمة كورونا غيرت نظرتي لكل العالم !,1,0,0,0
 سبحان الله في ازمه كورونا صرنا نخبز اذا مافيه من برا شفتي كيف بس,0,0,0,1
" ربنا الشافي، ازمة كورونا آزالت غطاء السلوفان الإنساني الرقيق من علي هذا الشعب",1,0,0,0
حاسة اني مبسوطة ان مفيش ناس في الشغل كتير   وان المكان هادي طول اليوم   ,1,0,0,0
 راني متمني هذي كرونا تكون كذبة افريل,0,0,0,1
الحين غضب ولا ابتلاء واختبار ؟!  (رفع اليد)  light_skin_tone ,0,0,0,1
"غالبا هيظهر فيروس جديد من الرنجة والفسيخ ، او يمكن الرنجة والفسيخ بيجيلهم كورونا ف يجيلنا إحنا كمان!",0,1,0,0
ما تخيل في يوم هيما يكون ايماني لازم نتخلص من كورونا قبل ما الشباب يتساقط ,0,0,0,1
الله يلعن كورونا ماتوقع بينتهي باقل من شهرين باقي مطول واضح وفوق ذا ترامب يقول استعدو لايام سودا الله يسود وجهه,0,1,0,0
 كورونا ما يعرف بطل ومتصدر ومن يصارع ع الهبوط  (بكاء)  (رفع اليد) ,0,0,1,0
 ياسطي لو الدنيا رجعت مش هيطول ف الميلان  الميلان حرفيا عايز ابادة ونبدأ بقي من اول وجديد يكش كورونا تقوم بالواجب دا,0,0,0,1
أن تعالج المواطن فهذا حق .   وأن تعالج المقيم فهذا عدل .   وأن تعالج المخالف فهذا إحسان .   عظيمة يابلادي * 🇸🇦    ,1,0,0,0
 احسن مافي كورونا اننا استفدنا منك اكثر,1,0,0,0
الشركات التي يمكن تتأثر بأزمة هي الشركات التي لم تخطط للسيولة الكافية في وقت الازمات,0,1,0,0
 ياعالمي؟ والله كورونا غير تفكير حتى الهلاليين,0,0,0,1
خد بالك انت عمال تمط ف مدة الاجازه وتديني ايحاء انك هتلغي التيرم وانا مش بذاكر ولوو ملغتش فعلا ممكن يجيلي كورونا من الصدمه .,0,0,0,1
 معالي الوزير بعد ازمة كورونا المنشآت الصغيرة ستكون شبه منقرضة واصحابها سيكونون مع طابور البطالة بسبب الرسوم,0,1,0,0
قاعده اكتب مقال لوحده عن كورونا فيروس ووووووو احبني  (قلب) ️ (قلب) ️ (قلب) ️,1,0,0,0
 علمونا ان كورونا كله كذبة ابريل تكفون,0,0,0,1
هزعل اوي لو البشر متغيروش بعد أزمه كورونا ديه بجد,0,0,1,0
 في بلد سوزان الكافرة المواطن والمقيم يدفع يتعالج من كورونا ما يدفع يحجر بدون علاج.,0,0,1,0
المشاعر لاقيمة لها في هاذا الزمن فليلتهم كورونا كل شيئ,0,1,1,0
لدي فكره قد تكون صائبة ... لعلاج كورونا هل يوجد طبيب سعودي أو طبيبة متخصص بهذا المجال يتبنى الفكره ربما قد تبدو غريبة والله أعلم . (قلب) ,1,0,0,0
اذا استمر كورونا يصول فإن الحجر فعلا قد يطول  (قلب_مجروح)     ,0,1,0,0
 من اسباب سخط الله وتمرد كرونا علينا بعد ان أذن الله الا هالعالم ذي التافهه,0,1,0,0
من يكذب اكثر الرجل ام المرأة؟              ,0,0,0,1
 صحيح لاحظتهم خصوصا هالفتره مع ازمه كورونا والحظرمايتعاملون معهم الا بالجلد اعتقد عارفين مايجيب نتيجه معهم الا هالطريقه,0,0,0,1
جهاز يكشف حالات كورونا في 5 دقايق,0,0,0,1
انخفاض عدد مشتركي خطوط الهاتف بالملايين بالصين خلال الشهرين السابقين !! هل هم ضحايا كورونا المخفيين يا ترى؟,0,0,0,1
بدون بعد كرونا غير بدون قبل كرونا ضغط الشارع عالدماء الزرقاء والحل بعد ٢٠ سنه بعد حاليا لايوجد حل,0,1,1,0
 متى ينتهي كورنا والله طفشت من البيت,0,0,1,0
معقوله السعودييين ما يدرون الصحه عندنا مجانيه حق المقيمين والوافدين جميعا قبل كورونا من طلعت الكويت وهي مجانيه  (إنكار)  ,0,0,0,1
  (محظور)  جاء ليحرق الأخضر واليابس ...      (موافق) ,0,1,0,0
الولايات المتحده بعد كورونا ليس كما قبله  لقد تعرت الحقيقه  انهم دراكولا,0,0,0,1
آمين 🤲 light_skin_tone أجمعين    عزيز وغالي    إن شاءالله نخلص من كورونا    ونزوركم,1,0,0,0
مهما تباعـدنا ترى الـود واصل    لو لا ظـروف الوقـت ولاّ كورونا    لـو سكّرت أبواب كـل التـواصل    بأمر الولي انعود للي .. احترونا,1,0,0,0
 هناك تغيرات إجتماعيه وسياسبه وإقتصاديه كبيره سوف تحدث بعد كرونا منها ما هو إيجابي ومنها ما هو سلبي,0,0,0,1
والله ياللاحم رثع بهم وفرق شملهم   صار اقسى من كورونا,0,0,0,1
الايام دول من سره زمن ساءته ازمان        ,0,1,0,0
 اخوي عبدالله ياليت تسئل المتحدث الرسمي لوزارة الصحة كم عدد فحص كورونا اجرته السعودية خلال الفترة الماضية ؟,0,0,0,1
تخيلو تخلص سالفة كورونا وتطلع بسيارة وتسوي حادث وتندعم وتموت,0,1,0,0
      إنّ للمِحَنِ  آجَالاً وأعمارًا  كَأعمار ابن آدم ؛    لا بدّ أن تنتهي !  -ابنُ القيمِ,1,0,0,0
زودن ع كورونا و خاطفة الدمام دخل علينا ابريل و كذباته    وش ذا,0,1,0,0
     إن للمِحَن آجالاً وأعْماراً كأعْمارِ ابن آدم لابد وأن تنتهي.    ,1,0,0,0
يارب نهايه مرض كورونا على جميع دول العالم وترجع حياتنا طبيعيه,1,0,0,0
الأوضاع عالميا كل مالها تسوء ويبقى حبل الله تعالى ,1,0,0,0
ياليت بعد ماتخلص ازمة كورونا نشتغل على ازمة الاخلاق والإنسانية.,0,0,0,1
 صرنا نخاف من الامراض والشهور ونسينا الخوف من الله كانت المساجد تذكرنا اليوم الاعلام كله يخوفنا من كورونا,0,0,1,0
الحمدلله على الخير و النعمة اللي احنا عايشين فيها  (قلب) ️..            ,1,0,0,0
هذا اقوى حدث في 2020 غطى على كورونا وحدائق استراليا وانهيار السوق الاقتصادي,0,1,1,0
 للحد من الانتشار كورونا,1,0,0,0
 بس الان كورونا وضغط غير طبيعي وهم دولة صغيره وعلى قدهم,0,1,0,0
يبدو أن أمريكا بدأت الأيام الأكثر قسوة في مواجهة كورونا,0,0,1,0
والله ما ادري بين العالم على حقيقتها ولا حنا فضينا وبدينا نتابع العالم .,0,0,0,1
"   بشرو ولا تنفرو ،، انشرو الطمنأنينه مع التحذير",1,0,0,0
 في تطبيق موعد.                     ,0,0,0,1
فو الأرق .. تو اسمع حياة الفهد  لاعت كبدي .. وربي كورونا شيء قليل ع البشر,0,1,0,0
هو موضوع كورونا يجيب الهم فعلا وإلا انا خيالي واسع ومكبره السالفة؟؟  ياربي رحمتك ما اقدر اتخيل المساجد بدون التراويح (قلب_مجروح)  (قلب_مجروح) ,0,0,1,0
 خله ياريال يمكن ينحس كورونا ويشرده,0,0,0,1
 أجمل ما في كرونا ما يعمل حساب للمقامات ولا اتهمناه بالعنصريه,0,1,0,0
 افا خلصه يخلص كورونا نروح انا وانتي المعرض كم شششموخ عندي  (مزح) ,1,0,0,0
 كنا نتضايق أن البعض جعل من الحمقى مشاهير. ولكن الحمدلله كورونا تكفلت بهم.   كشفتْ زيفهم وتفاهتهم وتعجرفهم وضحالة فكرهم.,1,0,0,0
إذا انتهينا من أزمه كورونا ع خير  لازم نعيد احتفالات اليوم الوطني مره ثانيه فيني طاقه حب للوطن بفرغها🇸🇦 (قلب) ️ (قلب) ️.,1,0,0,0
ايران بحكم المنتهي كورونا جايبه العيد فيهم الوفيات تجاوزوا ٥٠ الف والاصابات تجاوزوا المليون اصبر فقط شهر يكون الوضع مفضوح جدا,0,1,0,0
  صدقوني كورونا سخط من الله بسبب هل الاشكال   اسجنوهم او اعدموهم   اعملوا خير وخلصونا منهم,0,1,0,0
"تطبيق Zoom، هو تطبيق مملوك من شركة أمريكية. أرتفعت نسبة إستخدامه أثناء أزمة مما زاد من شهرته على مستوى العالم.  ",0,0,0,1
دع عنك لومي فإن اللوم اغراءُ   وداوني بالتي كانت هي الداءُ  ,0,0,0,1
 تعيش أسوأ أحوالها بسبب .. كنا نعتقد أن الأمر سيتوقف في لكن هذا لم يحدث ولا ألوم أحدا,0,0,0,1
حرفياً .. كورونا طورت العالم ..  كانت بمثابة سحب السهم للرواء للإنطلاق بقوة للمقدمة ..,1,0,0,0
 لا احد يستطيع محاربة امريكا بانها قوية عسكرياً .. لكن كورونا قتل الكثير منهم بدون حرب . سبحان الله,0,0,0,1
توا كنت في قائمة الطلبات في الفيس وقبلت طلبات صداقة من 50 اسبوع واكثر  (منزعج)  light_skin_tone ‍ female_sign ️  حسبي الله ونعم الوكيل في الصين  (قلب_مجروح) ,0,0,1,0
 هاى  مين مضايق من كورونا  ياجى نسلي بعض شويه  ناطركم خاص  ,0,0,1,0
 يمكن تقصد الايرانيين الي مالين الكويت وجابو فيروس كورونا,0,0,0,1
 قلبى والله ياإبمو وانتى وحشتينى اكتر face_blowing_a_kiss  face_blowing_a_kiss  (فرح)  بس هاعمل ايه كورونا وسنينها بقى واللى عملاه فينا,0,0,0,1
 معقمات مو بس كرونا في غيرها,0,0,0,1
 ياعيون كورونا غضي بالنظر  اتركينا نطلع ونسلم بالنظر     اتركينا العزل ماخلى حذر  بلا كمامه بنلتقي وبلا معقم بنلتقي,0,0,0,1
"{وَنَبْلُوكُم بِالشَّرِّ وَالْخَيْرِ فِتْنَةً ۖ وَإِلَيْنَا تُرْجَعُونَ}   أستعد لتجتاز الإختبار،، بإذن الله..",1,0,0,0
وفاة 865 أميركي بيوم واحد!!! اليوم اسوء يوم على أميركا منذ بداية  (مخيب)  (مخيب)  (مخيب) ,0,0,1,0
 اكو اشياء صحيحة و نعرفها   بس مو كورونا خدعة زين الناس الماتت شنو و المصابين حظر التجوال   الاقتصاد اللي بلش ينهار شوية شوية,0,1,0,0
 في تطبيق موعد.               ,0,0,0,1
 بكره ينتشر كورونا بسبب هالجاهل واشكاله    ولا كأن فيه وزراة صحه تحذر كل يوم,0,1,0,0
أسامة ماتوحشتيناش   واسيرو تقودو توحشت غا معقودة الله ينعل زامل بوها هاد كورونا,0,0,1,0
  تحول من كذبة ابريل  backhand_index_pointing_left  medium-dark_skin_tone  إلى أزمة كورونا  (قلب_مجروح)  (قلب_مجروح)  (قلب_مجروح) ,0,0,1,0
سنة ٢٠٢٠ ما رتبت الناس فقط في حياتنا  عملت إعادة ترتب للتخصصات أيضاً  فخورة إني,1,0,0,0
 تنتهي الحرب وينتهي الحوثي ويرفع الله بلاء كورونا والستر والعافيه ياخوي,1,0,0,0
 الله يحميكم وين گعدنا ببيوتنا لامظاهرات ولاشي  (حزين مخيب)  (حزين مخيب)  نسأل الله يحمي بلدنا وسائر بلاد المسلمين من خطر كورونا  folded_hands ,1,0,0,0
مازال أمام ترامب 18 شهرا من مواصلة كورونا لحصد ضحاياها.,0,1,0,0
ضعنا يا جدي في زمان كورونا    ع الله,0,1,0,0
           بارك الله جهود الجميع وسدد خطاهم وطن غالي يستاهل البذل🇸🇦,1,0,0,0
 ازمه كرونا ( تزيل أقنعه البشر وتبنيهم كما هم ) .,0,0,1,0
 انت تتنتحر ولا اقولك اصبر كورونا هتخلص ع الكل,0,1,0,0
"باقي 5 ايام وذكريات سنة من دخول القيادة ترجع تاني و ١٠ ايام من سقوط البشير ونظامه ، شكيتك على الله يا كورونا",0,0,1,0
"كورونا رفعت الغطاء عن وجه الكثيرين من الأفراد والجماعات والدول، واعتقد أن العالم بعد كورونا سيختلف كثيرا عن العالم قبل كورونا.",0,0,0,1
