text,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official,Surprise,Joking
___ ____ ____ ___ ____ ____ ____ : {____ _____ ___ ___ _____ __ ___ _____} .   ,0,0,1,0,0,0,0,0,0,0,0
"__ _____ __ __ ____ _____!  __ ______ ______ __ _____!  ____ ______ _____ __ _____.",0,0,0,0,1,0,1,0,0,0,0
 _____ _____ _______ _______ ____ ______ ____ _______ ______ ___ _____ ______ _____,0,0,0,0,0,0,1,0,0,0,0
 : ____ ___ _____ _____ __ ______ _____ ____ __________ ___ _____...,0,0,0,1,0,0,0,1,0,0,0
______ __ ____ ____ ______ _____ __ ____ ____ _______,0,0,0,0,0,0,0,0,0,1,0
_____   ___ _____ ___ ______ _____ ______ ___ ____ _______ ______ __ _____ ______ __ 2011 ____ ___ _____ ______,0,0,0,0,1,0,0,1,0,0,0
 _____ __ ___ _____ ___ ___ ___ ____ ___ ____ ____ ____ __ ____ ____ _____ __ ____ ___ _____ ______,1,0,1,0,0,0,0,0,0,0,0
 __ ___ ______ __ ______.   ___ ___ __ ______ __ ____ __ ___ ____ _____ _____.  (____) ,0,0,0,0,0,1,1,0,0,0,0
 ____ ____ ______ ________ _ ____ _______ ___ _____ __ ___ ____ ______ __ _____ _____ ______ __ ______ !,0,0,0,0,0,0,0,0,0,0,1
 _____ ____ ____ ______ ____ ___ ____,0,0,0,0,0,0,0,0,0,0,1
 ______ ____ _______ ______ _____ __ ____ ______ ____ ______ ____ ____ _____ _____ _____ _ ___ ____ _______ __ ______,0,0,0,0,0,0,0,0,0,0,1
___ __ ____ ______ _____ _______ ____ ______ __ _____,0,0,0,1,0,1,0,0,0,0,0
 ______ _______ ______ _ ____ ______ _ ________ _______ ____ ________ _ ___ ____ _______,0,0,0,0,1,0,1,0,0,0,0
 _______ _____ ____ ______ _______ ______ ___ ____ __ ___ __,0,0,0,0,0,0,1,0,0,0,0
10 _____ ______ __ _____ _____ __ _______ _______ .. ____ __ __ ______ __ _____ ______ ______ ___ ..,0,0,0,0,1,1,0,0,0,0,0
"___ _____ ______ _____ _____ _ ____ ________ __ ______",0,0,0,1,0,1,0,0,0,0,0
__ _____ ___ ____ _______ __ ________ ______ __ ___ ____ __,0,0,0,0,0,0,0,0,0,1,0
 ___ ______ _____ ______ ______ ____ ______ __ ________ _____ __ ______ ______ _____ ___ ____ _____ _____ _______ _____,1,1,0,0,0,0,0,0,0,0,0
__ ___ _______ ___ _____ _____ _____ ______,0,0,0,0,0,1,0,0,0,0,0
___ ______ ___ ________ _____ ______ ____ ____ _____,0,0,0,0,0,0,0,0,0,1,0
"    \________ __ ______ ____ _____ _____ ____ __ ________ __________ _________ _________\"".",0,0,0,0,0,0,0,0,0,1,0
 __ ____ _____ __ ____ ____ _____ ___ ____ _____ ______ _,0,0,0,0,1,0,0,0,0,0,0
 ______ __ ____ ____ __ ______ ___ __ ____ _____ __  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
“_ __ __ ____ ___ ____  _ ____ ____ ______ _____”  _._____     ,0,0,1,0,0,0,0,0,0,0,0
 ___ ______ _ ______ ___ _______ __ ________ __ ___ ____,1,0,0,0,0,0,0,0,0,0,0
_____ ___ _____ ______ _____ ______ ____ ______     _____ _______ .,0,0,0,0,0,1,0,0,0,0,0
 __ __ _____ ___ _____ ________ _______  (___)  (___)  (___)  (___)  (___)  (___) ,0,0,0,0,0,0,0,0,0,0,1
 ______ ___ ____ ____ ___ ______ __ ____ __ ____ ____ ____ _____ ______ ______ _ __ ___ ____ ____,0,0,0,0,0,0,1,0,0,0,0
" ________ ________ ____ __ _____ _______ _ ________ ___ __ ____ ______..",0,0,0,0,0,0,0,0,0,1,0
__ ___ __ ___ ____ ______ ____ ___ __ ____,0,0,0,0,0,0,0,0,0,0,1
 ___ ____ _____ _______ _______ __ ______ ___ ____ _____ ____ ___ ____ ________,0,0,0,0,0,0,1,0,0,0,0
_____ ______ _____ ____ ______ ___ __ ____ ______ _____ _____ . herb      ,0,0,1,0,0,0,0,0,0,0,0
           _______ ____ ________..  _______:  (____ ____ ____ _____ ____),1,1,0,0,0,0,0,0,0,0,0
 __ ____ ____ ____ ___ _____  (___ ___)  (___ ___)  loudly_(____) ,0,0,0,0,0,0,0,0,0,0,1
"  ___ __ _____ __ _____ ______ _____ ______ ______ ___ ______ _________ _____ _______ (___ ___) ",0,0,0,0,0,0,0,0,0,0,1
 _____ ____ ____ _______ ___ ___ ______ _______ ______ ________ ___ ___ ____ ______  (___)  (___) ,1,1,0,0,0,0,0,0,0,0,0
_______ __ ____ ______ ____ ________ __ _____ ____ _____ ___  (_____) _,1,0,0,0,0,0,0,0,0,0,0
 __ ___ ___ _____ ____ _____ ______ ____ _______ ___ ______ _____ __ __ _______,0,0,0,0,0,0,1,0,0,0,0
____ ____ ____ ______ ___ ___ ___ _____ _____ ________ (____ ____) ,1,0,1,0,0,0,0,0,0,0,0
__ ______ ___ _____ __  (___ ___)  (___ ___)  (___ ___) _____ __ _____ _____ ______ _____  (___ ___)  (___ ___)  (_________) ,0,0,0,0,0,0,0,0,0,0,1
_____ ______ ____ _______ ___ ______ _____ (____ _______ ______ ) ,0,0,0,0,0,0,0,0,0,1,0
_____ _____ _____ _______ ____ ________ _____ _______ __ _____ ______ ______ ____ ___ ___ _ ___ ____ ______ _______ :'(,0,0,0,0,0,0,0,0,0,0,1
 __ __ __ ___ ____ ______ ___ ____ ______,1,0,1,0,0,0,0,0,0,0,0
" _____ ___ ____ _ ____ _____ ______ _ ___ _____  (___ ___) ",0,0,0,0,0,0,0,0,0,0,1
____ _______  _____ ___ ______ _______  _________               ,0,0,0,0,0,0,0,0,0,0,1
_______ __ ___ ________ _____ _____ _____ ___ _______ __ _______ ______ ______     ___ ______ _______ _______    ___ ________ ___ ________,1,1,0,0,0,0,0,0,0,0,0
_____ ____ ____ __ ___ ___ ______ ______ ___ _______ ____,0,0,1,0,0,0,0,0,0,0,0
 _____ _____ ___ _______ ____ ______ ___ ______,0,0,0,0,0,0,0,0,0,1,0
_____ __ ______ _____ ___ __    ____ _____ _______ _____ _____ _______ ___ _____ ______ __ _____  (_________) ,1,0,1,0,0,0,0,0,0,0,0
 ___ __ ______ ______ ..___ ___ ___ ____ ______ ______,0,0,0,0,0,0,0,0,0,0,1
9-1_____ ___ __ ______ _____,0,0,0,0,0,0,0,0,0,0,1
____ ______ __ ______ __ _____ __ ______ ______,0,0,0,0,0,0,0,0,0,0,1
__ ________ _______ _______ _______ _____ __ _____ ____  (___ ___)  ____ ____ ___ _____ ,0,0,0,0,0,0,0,0,0,0,1
 ______ _____ __ ____ _______ :  _____ ____ ______ _____ .. ______ ____ ______ _____ (___) ,1,0,0,0,0,0,0,0,0,0,0
____ | _____ ____ _____ __ _____ ______ __ _____ ______ _________ _____ __ _____ _ _____ ____  ,0,0,0,0,0,0,0,0,1,0,0
_____ _______ ______ ______ _____ _ _____ __ _____,0,0,0,0,0,0,0,0,0,1,0
____ ___ ____ ___ __ ___ ____ ____ _______ ______ ______,0,0,0,0,0,0,0,0,0,0,1
___ _____ _____ ___ _______ ____ ______    ____ _____ __ ____ ___ _____ __ ____ ____ __ _____,0,0,0,1,1,0,0,1,0,0,0
 ___ ________ ____ ____ ______ __ ______,0,0,0,0,0,1,1,0,0,0,0
 _____ ____ ___ ____ _ ____ _____ ____ ___ ____ _____,0,0,0,0,0,0,0,0,0,0,1
  _____ __ ______ _____ ____ ___ ______ ______ ______ _______ __ ____.,0,0,0,0,0,0,1,0,0,0,0
___ ________ 58 _ ___ ________ ______ ______   _____ ______ ___ ______ ____ _______.,0,0,0,0,0,0,0,0,1,0,0
______ ___ _____ ______ __ ______  ____ _______ _______,0,0,0,0,0,0,0,0,1,1,0
___ ___ _______ __ _______ ________ ____ ______ _____ ________ ___ ___ ___ _____ __ ____ _____ ______ ____ ___ _______,1,0,0,0,0,0,0,0,0,0,0
  _______ ______ _______ ____ _______   _____   ______   ____   ___   ____   ____    (___ ___)  (___ ___)   ______ ___ ______  (_________) __,0,0,0,0,0,0,0,0,0,0,1
 __ ____ ____ __ ___ ____ __ ___ ____ _____ ___ __ _____ _____ ___ ____ ______ ____ __ ______,0,0,0,1,0,0,1,0,0,0,0
___ ____ (___).. _____ ______ _____ ______ _____ ____ _______ _____ ______ __ _____  ,0,0,0,0,0,0,0,0,1,0,0
 ______ ____ _____ ____ ____ ____ ___ (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
______ _____ ____ ____ _____ _____ __ _____ ______,0,0,0,0,0,0,0,0,0,0,1
___ ______ ______ ___ _____ ___ ______ ______ _ _______ ____ ______,0,0,0,0,0,0,0,0,0,0,1
 _____ ________ ___ ____ ___ ____ __ ______ ___ ____ ______,0,0,0,0,0,0,1,0,0,0,0
____ _____ ___ ___ ______ ______ ____ __ ______ ______ ____ _____  (___________)  .,0,0,0,0,0,0,0,0,0,1,0
 ( ____ _____ )   _____     ______ __ ___ ______ _____ _____ ___ ___,0,0,0,0,0,0,1,0,0,0,0
__ __ ____ ____ _____ ______ ____ ______ ____ __ ____ ___ ____ ______ _______ _______ _____ _____ _______ ________ ________ ______.,1,0,0,0,0,0,0,0,0,0,0
 __ __ ___ _____ ______ ___ ______ ___ _______ _____ _____ _____ ___ ___ ____ ______ ________ ____ ___ ____ __ ___ ____,0,0,0,1,1,1,0,0,0,0,0
"__ ___ ____ __ ___ _____ __ ___ _____ ____ ______ __ _______ ______ _ ______ _____  (____ ____) ",0,0,1,0,0,0,0,0,0,0,0
"__ ____ ___ ____ _____ ______ __ ___ ____ ____ ______ 23_559 _____ __ ___ ____ ________ ___ 719 ____ ____ _____",0,0,0,0,0,0,0,0,1,0,0
  (_____)  (_____)     ______ ______ ______ _____ _____ ______ __ _____ _____  ,0,0,0,0,0,0,0,0,1,0,0
 __ ______ ___ ____ __ ______ _________ _______  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
 _____ _ _____ _____ _ __ ____ __ ______  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
 ____ ____ ________ _____ ___ ___ ____ ______,0,0,0,0,0,0,0,0,0,0,1
_______ !!  _____ ____ _______   __  _______ ____ _____      ,0,0,0,0,0,0,1,1,0,0,0
____ _____ ____ __ ___ _____ _______ ____ _____ ___ _____ _ ____ ___ ______ _____ __ ______,1,0,0,0,0,0,0,0,0,0,0
1 _____ .. ______ _____ _____ _____ ___ ___ _______ ( ______ ) _____ ______ _______ _____,0,0,0,0,0,1,1,0,0,0,0
 ___ _____ ____ ____ ___ ______,0,0,0,0,0,0,1,0,0,0,0
 ______ ___ ___ _______ _____ ______ __ ________ _____ _______ ______,0,0,0,0,0,0,0,0,0,1,0
______ ____ ______ ______.. __ ___ _____ ___ _______.. _____ __ ___ ______ __ ____! _____ ____ _____ ______ ____!,1,0,0,0,0,0,0,0,0,0,0
_____ ____ __ ______ _____ _____ ____ _____ ________ ________ ____ ___ _____ ____ ______ _______ ___ ____ _____ __ ____ ___ ___,0,0,0,0,0,1,0,0,0,0,0
 ___ __ ___ ____ _ ____ ___ ___ ______ __ __ _______  new_moon_face ,0,0,0,0,0,0,0,0,0,0,1
____ ____ _______ ____ __ _____ ____ ______ ______ ___ __ ____ ___ _____ ______ ___ ________,1,0,0,0,0,0,0,0,0,0,0
________ _____ ____ _______ _____ _______ ______ ____ _______ ____ _____ __ ______ __ ________ ___ _________ __ ___ ___  ______,0,0,0,0,0,1,1,0,0,0,0
_____ _____:  ______ _____ _______ _____ ____ ___ ____ _____ __ ___ ____ ______.   ,0,0,0,0,0,0,0,0,1,0,0
_____ : ___ __ _____ __ _____ ______ .    ___ : ______ ___ ______ .,0,0,0,0,0,0,0,0,0,0,1
" ____ _____ ___ ______ _____ _____ __ _______",0,0,0,0,1,1,0,0,0,0,0
 _____ ___ _____ ___ _____ __ _____ ______ ______ _______,0,0,0,0,1,0,0,0,0,0,0
____ ___ _____ _____ ____ ___ ____ ______ (_____ ),1,0,0,0,0,0,0,0,0,0,0
  (_____)  _____ _______ __ ____ ____ ______ ______ _____ __,0,0,0,0,0,0,0,0,0,0,1
 __ _____ ______ _____ _______ ____ ______ ,1,0,0,0,0,0,0,0,0,0,0
 __ ___ ____ ___ ____ ____ ______ _ ______ __ __ ______ __ _______ __ __,0,0,0,0,0,0,0,0,1,1,0
 ______ ___ ______ ___ ____ ____ ______ _______,0,0,0,0,0,0,0,0,0,0,1
 ______ _____..______ _______ __ _____ _ __ ______,1,1,0,0,0,0,0,0,0,0,0
_____ ___ ____ _____ _______ ______ ______ _____ ______ ____ ________ ____ ____ ______ ________,0,0,0,0,0,0,0,0,1,0,0
______ ___ ______ __ ______ ________ _____ __ __ _______ _____ ___ ___ ______   _____ ____ _____ _____ _____ ______ __ ______ ______,0,0,0,0,1,0,0,0,0,0,0
_______ | ____ _______ _______ ___ _____ ________ ______.,0,0,0,0,0,0,0,0,1,0,0
_____ _______ __ _____ _____ ____ ________ _________ ____ _______ _______ _______ _____ ___________ [____: __],0,0,1,0,0,0,0,0,0,0,0
 ______ ______ ____ ... ___ __ ____ ____ . ____ __ ______ ____ ___ ___ ___ . ____ ____ ______ .,1,0,1,0,0,0,0,0,0,0,0
__ ____ ____ _____ __ ___ ____ __ ___ ____ ___ __ ____ _____ __ _____,0,0,0,1,1,0,0,0,0,0,0
 ______ ______ ____ ____ _____ ____ ______ __ _____ ______ ___ ____,0,0,0,0,0,0,1,1,0,0,0
_______ ___ ______: ____ ____ ___ ___ _____,1,0,1,0,0,0,0,0,0,0,0
_____ __ _____ .  ______ ____ _____ ___ ____ _____ ..,0,0,0,0,0,0,0,0,0,0,1
_____ __ ________ ___ ________ ____ ______ ____ ____ _____  (_________)  ,0,0,0,0,0,0,0,0,0,1,0
 ___ ____ _____ ___ __ ______ _____ ______ (____) ,0,0,0,1,0,1,1,0,0,0,0
 _____ __ ______ _____ ____ ______ ____ _____ ______ ____ ___ _____ ___ ___ ___ _____ ______ _______ ____ _____ ___ ___ ___,0,0,0,0,0,0,1,0,0,0,0
 ______ ___ _________ __ ___ ____ ______ ________ _______ _____,1,1,0,0,0,0,0,0,0,0,0
______ _____ _____ ________ _______ _ ____ ______ _____ __ ______.,1,0,0,0,0,0,0,0,0,0,0
______ __ ____ ___ ____ ____ _____ __ ___ _____ _____ ______ __ ______  ,0,0,0,0,0,0,0,0,0,0,1
______ ____ ________    _____ ____ ____ ___ _____,0,0,1,0,0,0,0,0,0,0,0
____ __ ___ _ _____ ___ __ ____ _______  _______ _____ ___ _____ ________,0,0,0,0,0,0,0,0,0,0,1
___ .. ____ _____ _____ __ _____ ________ __     ,0,0,0,0,0,0,0,0,1,0,0
__ ____ __ ____ ___ _____ ___ _     ___ ____ __ _____ ___ ______ __ ___,1,0,0,0,0,0,0,0,0,0,0
 ___ ___ ____ ____ __ ______ _______ ____ ________ _____ _______ ..,1,0,0,0,0,0,0,0,0,0,0
______ ___ ____ ____ __ ____ ____ _____  (___ ___)  (___ ___)  (___ ___)   ______  ,0,0,0,0,0,0,0,0,0,0,1
 ______ ______ ______ ____ __ ___,0,0,0,0,0,0,1,0,0,0,0
 ______ ____ _____ ____ ______ ___ ______,0,0,0,1,0,0,0,0,0,0,0
___ __ ________ _______ _______ ____ ____ ______ _________ ____ ___ __ ___ ____ ___ ___ ________ _________ ________ _______  ,0,0,0,1,1,0,0,1,0,0,0
_____ _____ ___ __ ____    _____ ___ _____ ______ ______ ____ _____ _____ ___ _____ ___ ... (___ ___)  (_________) ,0,0,0,0,0,0,0,0,0,0,1
____ _____ ______ _____ __ ___ ____ __ ___ ____ _ ______,0,0,0,0,0,0,0,0,0,0,1
__ __ ______ __ ____ ______ _ _____,0,0,0,0,0,0,0,0,0,0,1
 ______ ______ ______ ______ ___ ________ ____ ______ __ ____ ______ _______ _______,0,0,0,0,0,0,0,0,1,1,0
___ ____ _____ ______ ______ __ ___ ____ ___  (___)  (___)    ,0,0,0,0,0,0,1,0,0,0,0
____ __ ___ ___ ______ _ ____ ____ ___ ______ ______  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
"____ ____ _____ _______ __ __ ______ _____ _ __ ___ _____ _____ ___ 9 _____ ...       (____)  light_skin_tone _ male_sign _",1,0,0,0,0,0,0,0,0,0,0
_____ cbc _____ ___ ___ ____ _____ ___ ______  (_____)  light_skin_tone _ female_sign _,0,0,0,0,0,0,0,0,0,0,1
 _____ ____ _____ _______ __ ______ ___  (___ ___)  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
______ __ _____ ______ __ ______ ______ _____ ____ ______ _____ ______.,0,0,1,0,0,0,0,0,0,0,0
__ _____ ___ ____ ____ __ ____ ____ _____   ______  ,0,0,0,0,0,0,0,0,0,0,1
____ ____ _____ _______ ______ ______ ____ _____ ___ 9 _____ (_____),1,0,0,0,0,0,0,0,0,0,0
 _____ ____ __ ______     ______ ___ _______    ____ ____ ______,0,0,1,0,0,0,0,0,0,0,0
___ _______ __ ___ ____ __ ___ _____!!!  _____ ____ _____ ______ _____ ___ __ _____ ___ ____ ______,0,0,0,0,0,0,1,0,0,0,0
 ____ ___ _____ _______ __ ______ _,0,0,0,0,0,0,0,0,0,1,0
_- _____ ____ ____ ____ __ ______  _- __ ____ _____ _______ _____ _ ____  _- ____,0,0,0,0,0,0,0,0,0,0,1
_____ ____ _____ ______ ____ _____   _____ _____ ___ _ ____ _________!,0,0,0,0,0,1,1,0,0,0,0
  _____ __ ___ ____ __ ___ __ __ ____ _  (____) ,0,0,0,0,0,1,0,0,0,0,0
 ____ __ _____ ____ __ _____ _____ _______ ____ _____ ____ ___ ___ _____ ____ ____ ,0,0,0,0,0,0,1,0,0,0,0
"____ ____ ____ __ ______ _____ ______   __ _____ _____ ..(___,)",0,0,0,0,1,1,0,0,0,0,0
__ ______ ________ ___ __ ____ __ ______ _      (____)  (____) ,0,0,0,0,1,0,0,0,0,0,0
______ ____ _____ ____ _  _____      ,0,0,0,0,0,0,0,0,0,1,0
__ ____ ___ ____ ___ _ ___ _______ ______ _____ ___ _____ ______ ____ __ _____ ____ _____ ____ ____ _____ ______ __ ______..!,0,0,0,0,0,0,0,0,0,0,1
 ____ ______ ___ _____ ______ ____ ________ .. ______ __ _____,1,0,1,0,0,0,0,0,0,0,0
______ ______ ___ __ _________ ____ ____ _____ _____ ______ ______ _______ _________...,0,0,0,0,0,0,1,0,0,0,0
 _____ ____   _____ _______ _______ ______ ______ __ ___ _________ ________ ___ ____ ___ ___ ____ ___ _ _______ ______ _______,0,0,0,0,0,0,0,0,1,0,0
 _____ ___ ____ _______ ___ ________ ___ __ _____ ______ _______ ______ ____ ____ __ _____,0,0,0,0,0,0,1,0,0,0,0
 __ _____ ____ ____ ____ ___ ____ ______ _______ ______ _____ _____ __ _____ ______,0,0,0,0,0,0,0,0,0,0,1
______ __ _______ _______ ____ ____ ______ ___ ______ __ ______ ___ ____ ______ ______ _____ ___ _____ ______ _____..,1,0,0,0,0,0,0,0,0,0,0
"______ __ ___ ______ __ ___ __ _____ _____ ___ ____ _ ____ _____ _____ _____ _____ _____ ______ _____ ______ __ ___ ______ . (___)    ",0,0,1,0,0,0,0,0,0,0,0
_____ ___ ______ _____ _______ ____ ____ ______,0,0,0,0,0,0,1,0,0,0,0
_____ ______ ___ ____ ____ ___ ________ ______ _____ ____ __ ___,0,0,0,0,0,0,0,0,0,0,1
__ ______ _______ (_________)    ,0,0,0,0,0,0,0,0,0,1,0
_____ __ ___ __ ___ ________   __ ___ ___ _____ ______ ____ ______ (____ _____) _  __ _______ ____ ___ (____)  medium-light_skin_tone _ male_sign _ (_____)  (____ _____) _,0,0,0,0,0,0,0,0,0,1,0
____ ________ ___ _____ ____    __ __ _____ ______ ____ ______    ___ _____ _____ ___ ________    ____ _____ _____ ___ .. _______    ,1,0,0,0,0,0,0,0,0,0,0
 _____ ______ ___ ______ ___ ____    __ _______ ________ __ ____ ___ _____    __ _______ ____ ____ ______,0,0,0,0,1,0,0,1,0,0,0
_____ ____ ____ ____ ____ ____ _____ __ ____ ______ ___ ______ ___ ___ ___ ____ ____ ____ ___ ____,0,0,0,0,0,0,0,0,0,0,1
____ _____ _______ ______  (_____)  (_____)    ,1,1,0,0,0,0,0,0,0,0,0
______ ____ __ ______ _____ _____ ____  (_________) ,0,0,0,0,0,1,0,0,0,0,0
 _____ ___ ____ ____ __ ________ ____ __ ____ __ ______  ___ ____ _____ _____ ________ ____ _______,0,0,0,0,0,0,0,0,0,0,1
_______ ___ ______ ____ ______ ______ _____ ___ ___ ______ ____ ______ ______ ____,1,0,0,0,0,0,0,0,0,0,0
_____ ______ ____ ______ _____ _____ ____ ______ __ ____ ________ ____ ____ ________ _____ ___ ___ _______,0,0,0,0,0,0,0,1,0,0,0
 ______ ____ ______ __ ______ ______ __ ____ _____ _____ ______ __ ____ ____ _______ __ ____ ______ _________ ________,0,0,0,0,1,1,0,0,0,0,0
 __ _____ ____ _____ ___ ___ ______ __ ___ ____  (___) ,1,0,0,0,0,0,0,0,0,0,0
 ___ __ ________ _____ __ _____ ____ ____ ______ ______ ______ __ ____ ______ _____ ______ __ ______,0,0,0,0,0,0,1,1,0,0,0
 ______ ____ ____ ___ ______ _____  ___ _____,1,0,0,0,0,0,0,0,0,0,0
____ ____ ______ _____ _____ ____ ___ “______” _____ ____ __ ____ ____ _______ ________ ____ __ ______ _____ ______ __ ______,0,0,0,0,0,0,0,0,1,0,0
 ___ ____ ___ _______ ___ _  __ ____ ______ _____ ___ __ _____,0,0,0,0,0,0,0,0,0,1,0
___ _____ _____ __ ______ ____ _____ ____ ____ ______ ___ ______ _____ _____,0,0,0,1,0,1,0,0,0,0,0
___ ______ __ ____ _____ __ ______ _______ ____ ___ _____    -______ ____ __ _______ ___ _____ ___ _______ __ __ _____ ___ ___ _____,0,0,0,0,0,0,1,1,0,0,0
___ _____ _______ __ ___ _______ ______ ______ _______ __ _________ ______ __ 100 ___ 200 ___ ___!,0,0,0,0,1,0,1,0,0,0,0
 _____ __ ___ _______ _____ ______ __ ______ ______ _______ ____ ____ ___ ___ ___ ___ _____ ________ __ __  (_____ ____)  (_____ ____) ,0,0,0,0,0,0,1,0,0,0,0
 ____ ___ ____ ____ __ ______ _____ _____ _____ ____ _____,0,0,0,0,0,0,1,1,0,0,0
"______ __ __ ______ _ ________ __ _____ _____ ____ ____  (___) ",1,0,0,0,0,0,0,0,0,0,0
 ______ .. ____ ______ ______   ______ ________ .. ________ ____ _____ _____ _____ ..!!,0,0,0,0,0,1,1,0,0,0,0
 __ _____ _____ __ _______ ________ __ ___ _____ ___,1,0,0,0,0,0,0,0,0,0,0
" ______ ______ ____ _______ _ ____ _______ __ __ ____ __ ______ _______ _____  (____)  (____) ",0,0,0,0,0,0,1,1,0,0,0
______ ________ _______ ______ ____ ______ __ . __ ____ ____ ____ ______ ___ ____ ____ ____ ______ .  ,0,0,0,0,0,0,0,0,0,1,0
__ ____ ______ ___ _ ______ ______ _____ ___ _____,0,0,0,0,0,0,0,0,0,0,1
 ___ ___ _____ ___ ____ ....._____ __ ____ _____ __ ______ ______ _____ _____,0,0,0,0,0,0,1,0,0,0,0
_____ ___ 2 _____ ______ ___ __ ___ ________ ______ _______ _______ ___ ___ _____ __ ____ ______ ____ _______.,0,0,0,0,0,0,0,0,1,0,0
_____ ______ ________ ______ ____ __ ____ _____ ..  globe_showing_Europe-Africa ,0,0,0,0,0,0,0,0,0,0,1
___ _______ _____ ____ __________    _____ ______ ______  ____ _______ ____ __ _____ ____ _____ __ ______ ______,0,0,0,0,0,0,0,0,1,1,0
__ _______ ___ _______  _____ _____ ____ ____    ________ _______ _____  __ __ ____ ____ ______    ______ ___ ____ _______,0,0,0,0,0,0,1,0,0,0,0
____ _____ ______ __ ____ ______ _____ ____ ______ ___ _____ _______ __________  (___) _ folded_hands ,0,0,1,0,0,0,0,0,0,0,0
_____ ___ ______     __________ ___ ____     ___ ____ __ ______ __ ____ _____ __ ___ ______ ______ ___,0,0,0,0,1,0,0,0,0,0,0
____ _____ ____ ____ __ ______ ____ _____  (____)  ,0,0,0,0,0,0,0,0,0,0,1
 ____ ___ __ _____ ______ __ ______ __ __ .. ___ ____ ______ ___ _______  (_____) _ female_sign _,0,0,0,0,0,0,1,1,0,0,0
__ _____ ___ _______ __ ______ ______ _______ ______ _________ _________ __ ____ _____ ,0,0,0,0,0,0,0,0,1,0,0
 ___ _____ ______ ______ ______ ______,0,0,0,1,1,0,0,0,0,0,0
 ___ ____ __ _____ ____ ___ _______ ____ ______ __ ______ ___ ____ ______ .,0,0,0,0,0,0,0,0,0,1,0
_______ ___ ____ _____..  ___ ____ ____ _____ ____ _______ _____ ______ ______ __ ______ _______!! (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
_____ ___ 4 _____ ______ _ ____ ____ _____ __ _____ ________ ____ ____  (_____),0,0,0,0,1,0,1,0,0,0,0
_____ ______ ______ ____ _____ ___ ____ _____   .  .  _____ ____ _____,0,0,0,0,0,0,0,0,0,0,1
_____ ___ ____ ____ ___ _____ ____ ______ ____ _____ ____ __ ______ ______  (___)  folded_hands         ,0,0,1,0,0,0,0,0,0,0,0
