text,optimism,pessimism,sadness,surprise
طب انا اقسم بالله بسمع اغنية راجعين جسمي بيقشعر حلاوة اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍,1,0,0,0
الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل *,0,0,1,0
وابدأ افتكر كل حاجة حلوة من تاني كده، كمية التشويق اللي في الموضوع ده كبيرة جداً واتمني يكون في حد عنده نفس الرغبة دي عشان ماحسش نفسي عبيط,1,0,0,0
ابتهاج اجتماع الحبايب والله يزيد السعادة سعادة❤️,1,0,0,0
كم هو مؤلم أن تسير الحياة على هذا النحو العادي بدون أمي يتخيل لي وجهها في كل مره اشعر بقسوة الحياه علي إن أشد مرارة تشعر بها هي فقدان الأم,0,0,1,0
تعبت من التوتر اتمنى انام واصحى بعد ماتنتهي و اشوف الثانيه عشر رافعها راموس,0,0,1,0
بعض الاغاني تدخل القلب وتبعثر كل مافيه وتصعد العقل وتبحث فيه عن الذكرى المرتبطه بهذه الكلمات ،فيبدأ يخيم على صاحبها السكوون والمصحوب بتنهيده,0,0,1,0
ضريبة على العربيات اللى فوق ال ١٠٠ الف .. هو فى عربيات باقل من كده يا بهيم بعد ما غرقتوا الجنيه ؟؟؟,0,1,0,0
التعدد ما هو إلا خيانة للزوجة بإسم الدين و بدون أي تأنيب ضمير و أي رجل يلقب زوجته بالبرميل فلا يستحق اهتمام أي امرأة,0,0,1,0
اتمنى لك احلام سعيدة فيني❤️,1,0,0,0
اف اف شو صاير بالخليج 😦...ليش هيك هالتوتر ...؟؟؟ والله اني ما عم اعرف شي من هالدنيا الا الكتب و الامتحانات 😑,0,0,1,0
@Mayar05420154 @moniaah__ يابنتى انتى المفروض تحتفلي بيا وتفرحيني وتعمليلي مفاجأة ده انا عيدميلادى قرب خالص وانتى عارفة انى مكتئبة 💔,0,0,1,0
كمية احساس وطرب زي السياره لما تعبيها فل 😍 ❤,1,0,0,0
قبيله حرب والله ان غضبي عليهم غضب الله على بليس,0,1,0,0
هاذا مو انتقام وبس انتي قضيتي علي,0,0,1,0
طمني عليك اذا حسيت بأي اذى بتلقلتي مع قلبك اذا بكى..,0,0,1,0
بحكي لك عجز: شفت خوف إنسانة حقيقية على أمها الجدة! قد خوفي عليك لهالحظة. هزني الموقف! وكنت أضعف من أنّي أمسح دمعتها أو ألملم إنكساري.,0,0,1,0
كل ماجيت اعتني في نفسي الموجوعه سببت في صدري #الاحزان صوت وزحمه جعل ماجاني على دنيا الشقا من لوعه تحتسب في الاخره تخفيف ذنب ورحمه,0,1,1,0
عن الليالي السود المخيفة : كنت الاشراق السريع مدحضة كل ذعر قاتلة كل نوبة ذعر ابدا لن انسى ذلك يا طهر هذه الارض و ركازها,0,0,1,0
#احتفالات_عيد_الرياض مو حلو عيدكم حنا احلا 🙄,1,0,0,0
⁦مرحبا أنتي جميله وهناك شخص يحبك كوني سعيده دائما لأن عيناك مذهله عندما تبتسمين 💘,1,0,0,0
صحيت من النوم فايق و مفيش حاجة معكرة مزاجي قولت ازاي دا يبقي عيب حتي والله فتحت الnotes القديمة قريت فيها شوية و الحمد لله بقيت زالزفت تاني,0,1,1,0
@LibyaAlhadath الحمد لله ربنا يبقى يشلهم فة اديهم اﻻرهابيين واللى بيمولهم كمان يا قتلة المسلمين فى كل مكان,0,1,1,0
أرغب بالهروب بعيدا أرغب بأن أعيش تحت ضوء القمر لا شمس ولا أصوات ضجر أرغب بالإبتعاد عن ذاتي وعن تفكيري المستمر إلى هناك إلى اللامفر,0,0,1,0
#ميلاد_الدعاء9 \n\nمن قالها بيقين فرج الله كربه بإذنه، وشافاه وعافاه بل ورزقه من حيث لايحتسب، وابتلاء الله تعالى للعبد ماهو إلا حب ورحمة..,1,0,0,0
الله يكفينا شر الغدرات,0,0,1,0
@IMEM__716 بشار الأسد \nيا ويلي على ذبحته 😡,0,1,1,0
لم يخطر ان يوما نشكو منهم ونردد بين الانفاس لعلهم خيرهه #صديق #احباب #اصحاب #عتاب #حزن #غالي #شعوري_الحين_يقول #ضيق #رمضان #الفقد #قصيد,0,0,1,0
لو اجتمعو ع ان يضروك بشيء لن يضروك الا بشيء قد كتبه الله لك 😍 #اطمئنان,1,0,0,0
#عوده_اخطر_معلمين_في_العالم\nوعليكم السلام ايوه صباح الانشكاح,1,0,0,0
#ﺎلكبرياء ؛ ﺎن تبتسم وبداخلك #عزاء,1,0,1,0
يقولون ابحث عن فضولي الحقيقة ابحث عن مجنس في اي مشكلة #شجار_الرفاع,0,1,0,0
#السعادة كن مع الله ولا تحسد أحدا ولا تحقد وعش ببساطة مهما علا شأنك توقع خيرا مهما كثر البلاء وتعلم العطاء ولا تنتظر الرد,1,0,0,0
انا قايمه علي كابوس ابن جزمه و كذا يوم كوابيس كوابيس ؛ و قلبي واجعني و فيه اضطراب 😣 😣 بكره الكوابيس بكرهها 😖 😨,0,1,1,0
#غرابييب_سود\nلم أتابعه لكن أرى الكثير ناقمين عليه .. ودي أتابعه على شان أنقده .. عمومًا أنا لا أثق في mbc.,0,1,0,0
بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا,0,1,1,0
المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬,0,0,1,0
#ياجدعان انا مش عاوز حد يزعل #مني وانا مش #زعلان من اي حد مهم كان الاامر,1,0,0,0
صارلي شي مية سنة مشلوحه بهالدكان ، ضجرت مني الحيطان و مستحيه تقول\n*القعدة في الاوضة بين الكتب و الملازم*,0,1,1,0
يعنى عمارة الأزاريطة دى مصيبة و كارثة و ناس دلوقتى قاعدة فى الشارع متشردة، مش مجال للسف نهائى و الله بقينا شعب جبلات فشخ,0,0,1,0
يتم صرف المليارات ع كره فارغةتركل بالرجل ويثورون غضبا لها ولايهمهم من نام في بلادهم جائع ويتفاخرون بقهر النساء انه الموقع الجغرافي الملعون,0,1,1,0
@ahmed_kamal98 الخير ف اللي ربنا كاتبه يا احمد 😄,1,0,0,0
الناس مبقاش في قلبها رحمه ولا انسانية يعني ايه واحد يخبط واحد علي البحر يروح مكمل عليه و ماشي وسايبه هو ده انسان ؟! بجد ربنا ينتقم منه,0,0,1,0
لما أتكلم مع حد في خططى و احلامى و طموحاتى و الاقيه مش فاهم خطوره الموقف و مش بيتكلم بجديه \nبشيل منه العمر كله 😅,0,1,1,0
ولقد وضعت اصبعك على جرح نازف للامة يجعلها بما تملك من قدرات اسيرة ملك او امير هرم لا يجيد الا الرقص بالسيف المرتجف بيده,0,0,1,0
عندى حالت لامبالاه ولا كأن عندى فاينل كمان يومين!😥,0,1,1,0
#اللهم أرزقها #سعادة لاتنتهي وراحة #بال لاتنجلي وأغمر قلبهاا #فرحاا وروحها #سكينة وحقق لها كل #ماتتمني وبارك لها فيه 🙏 🙏 🌙,1,0,0,0
خلاص يا متخلفين اللي مايبي الجزيرة يشفرها بكل بساطه مثل ماشفرتو قنوات bein لكن تخافون من الحق #رعب #خوف #بكاء #ارفض_اغلاق_الجزيره,0,0,1,0
#مصيبة_مصر_في الخوف اللي ملا قلوب المصريين من بشر ومن أقل شئ ونسو ان الله هو مسبب الأسباب القادر علي كل شئ,0,0,1,0
الفتاة المحتشمه فخر لابويها عز لإخوتها كنز لزوجها خير قدوه لأولادها فكوني محتشمة ايتها المسلمة لكي تسعدي من حولك #اختاه_حجابك_ستر_وعفاف,1,0,0,0
#الفرحه_انك تعرف ان ربنا راضي عنك وميكنش غاضب عليك ❤,1,0,0,0
"حزين ولست حزين على حزني إنني أفخر بهذا الحزن الذي يملئ صدري أفخر لأنه الهدية الآخيرة التي بقيت لي بعد الراحلين """,0,0,1,0
ربي ادخل شهر رمضان علينا وانت راضي عنا واجعله شهرا تتبدل فيه ذنوبنا الى حسنات وهمومنا الى افراح واحلامنا الى واقع يارب العالمين,1,0,0,0
@EnaasAhmed\nمالك بقيتي عِنِفة اووي كدة ليه ،،، لو خدتي بالك التوتس كلها كآبة 👊😂\nلا فرفشي كدة احنا داخلين ع فاينالز و مش ملاحقين 😂😂✋,1,1,0,0
محاولة السعودية والإمارات ترهيب شعوبهم بالسجن هي محاولة للجم الاراء الحرة المعارضة لحصار قطر ودليل على ان هذه الشريحة هي الأغلب /3,0,1,0,0
@jun_queeen حلو التفاؤل دا,1,0,0,0
لانها لم تستطع تغير طريقة مذاكرتها من التكرار الشفهي الى التكرار الكتابي فخرجت من الكورس دون ادنى فائدة ولم تستمر فية #فوبيا التغيير,0,1,1,0
وبعدين معاك  مطلع ميتنى ليه #القلب\nاشتكى من قله الهشتكه,0,1,1,0
هو مب اني متضايقه لا بس شبه عتاب,0,0,1,0
اما بالنسبه للناس اللي وجعوني و حرقوا قلبى ف انا مش مسامحة حد و يارب ما تشوفوا راحة دنيا ولا اخره ان شاء الله عدلا و ليس حقدا :'),0,0,1,0
اريد الإنتحار 🐸\nامنعني بثلاث كلمات خليني أشوف اسلوبك ف الإقناع 😃,0,1,1,0
لا ي هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين في :/ خوف وذعر,0,1,1,0
شنو ذنبي ككويتيه او عربيه انشتم عشان في وحده نفس جنسيتي او عرقي عذبت خادمتها وانتهكت انسانيتها #شتم بالجمله,0,1,1,0
ترا انا انسان زيكم تعالوا سولفوا معي احس بالوحدة:(,0,0,1,0
معنى #الألم. \n\nرمضان قرب وفقيد قلبك مو معاك قمة الألم والتعب💔,0,0,1,0
وأحيانا الدنيا بتحاسبنا علي أشياء مالنا ذنب فيها وبنلاقي نفسنا بندفع تمنها بدون وجه حق,0,1,1,0
وخز الضمير مؤلم و لكنه نعمة,0,0,1,0
@NegmaEbrahim هو مش بياكل وبيشرب خلاص الناس التاني تولع بجاز وسخ مش عارف اخرتها ايه معاه ربنا ينتقم منه,0,1,0,0
على كثر الي بيننا صار على كثر الجفا والزعل وعلى كثر الحنين تدري اني من غبت ما حل مكانك حد مكانك خالي لين يومك #rmr,0,0,1,0
"حزين ربما وربما وحيد هكذا دائما"" أحفر في ظلام الليل علني أجد من يشبهني يعرف لون حزني ووحدتي يتعلق بي ويحبني يأتي إلي ويأخذني هكذا بلا سبب",0,0,1,0
الواحد حواليه كميه negative energy تكفيه قروون لقداام والله ..الدنيا كلها بقيت بؤس وكآبه ..متعرفش ده غضب من ربنا ولا ايه 😔💔,0,1,1,0
صباح الخير يا فرحة سجين لاعته الاحزان ألي منه ذكر ب أنك حبيبه ضاعت أحزانه :(,0,0,1,0
نوبات هلع شعور عارم بتمزيق أي شيء صداع قاتل رغبة بالقيء ينتابك هذا الخليط المقزز و أنت تخبر من أمامك بأنك بخير ولا شيء يدعو للقلق,0,1,1,0
مو باقي غير الاهلي يجملها بكره وتكتمل فرحتي 😍😍,1,0,0,0
السلام عليكم فجأة وبدون سابق إنذار ظهرت لي مديونية ( بيجر ) بقيمة 700 قبل 20 سنة المشكلة سويت اعتراض ولم أجد رد حتى الآن,0,0,0,1
@NOOO_NO_NO مااقدر اسهى عنه \nبالفرح احس بغصه لأنه مو معنا,0,0,1,0
فرحة دخول رمضان عالقلب تسوى الملايين :) الحمدلله اللهم انزل السكينة و الطمأنينة على قلوبنا ♥ ♥,1,0,0,0
مش فاهمه بتفرج ع #كفر_دلهاب ليه كل يوم الوقت دا والبيت كله نايم \nلو قاصده أرعب نفسى مش هعمل كده 💔😂👻👻,0,0,0,1
الفرحه انك تعرف مين الي ليك  #الفرحة_انك,1,0,0,0
كلامك حلو بس معنى انك قولته انك حاسس بالندم او مش واثق من اللى انت عملته,0,1,0,0
بدأ ينكمش على نفسه من شدة البكاء وقد انكمش جدا حتى أنه لم يعد له ظل ولولا هذا الخوف الذي يملأ قلبه لتأكد بأنه لم يعد موجودا•,0,1,1,0
محتاج افضفض لاحد اذا ممكن يجي بيبي \n57E2BE4D\n😢\n\n#طفش #طفشانة #ملل #فضفضة #بيبي #كيك #بوب_كورن #حب #فراق #صوت #كتابه,0,1,1,0
إعجاب + حب + زواج = نهاية سعيدة,1,0,0,0
احتاج افرغ غضبي على احد بس محد له ذنب فلذلك اتطرق للانعزال,0,0,1,0
صباح التوفيق والرضا والسعادة وراحة البال,1,0,0,0
نفسي ف مفاجأة تخليني منشكح انشكاح منشكحهوش منشكح في تاريخ المنشكحين 😅,1,0,0,1
#لم أعد أحتمل المفاجئات والانكسارات والحرمان والفقد ف رفقا بي ياازمن #مرارة #رماد_العمر #جنون_قلم_للدعم,0,1,1,0
هناك بخل لا يدخل في خانة المال أبدا فهناك بخيل الأخلاق وبخيل الإبتسامة وبخيل الصدق والأمانة ❗ وأبشعهم وأقبحهم بخيل لا يتمنى الخير لأحد 👿,0,1,1,0
حلو انك تكتفي باللي يقدرون وجودك معاهم وتشوف السعاده فيهم وتتجاهل اللي م يشوف منك شي قد م تعطيه.,1,0,0,0
ألم يصلك بكاء قلبي قبل أن تبكي عيناي أنا مذعور وأنت بعيد ولن يهدء ذعري الا ب رحمة الله كتاباتي دعها كماهي,0,0,1,0
هذا المساء :\nأحتاجك لذا فا الكلمات وان احتشدت على السطر لن تفي وصفا .!\n#تنهيدة_حرف #غصة_إفتقاد #تناهيد,0,0,1,0
فيني حنين وشوق تجاوزت أنا حدي :(,0,0,1,0
النقاش مع شخص تحبه وتثق فيه مفيد جدا في تخفيف التوتر والاكتئاب ويمنحك ثقة كبيرة في نفسك #متي_تتخلص_السعوديه_من_التشدد,1,0,0,0
@ana_khlod باقي ساعتين ونص 😄,1,0,0,0
اكيد بكون مرتبكة و ارتجاف,0,0,1,0
نمت ٩ ونص وصحيت وحدة عجزت انام من القلق 💔,0,0,1,0
لأول مرة أشعر بأنني وحيد وبأنني أملك مصيري بيدي شعور بالفزع انتابني حين شعرت بأن لا ملجأ إلي سواي,0,0,1,0
بحس إن أي سُلطة في البلد بتستخدم أسلوب التخويف ، و احنا بنحبط و بنغضب بس عمرنا ما نتجرأ نرد ، مفيش حاجة تحميك أو تضمنلك حقك ،البقاء للأقوى,0,1,0,0
@zahraelmasry15 احلى ابتسامه ربنا يتمم شفاكى ع خير والرب يكون معاكى دايما 😊,1,0,0,0
رنة المنبه بالنسبالى بقي عباره عن كابوس ولو سمعتها في اي وقت او مع اي حد بتوتر,0,0,1,0
كل عام وانتم بخير والله يسعدكم سعاده م بعدها شقى وجعل عيونكم م تدمع الا دموع فرح ي رب للجميع بدون استثناء❤️❤️,1,0,0,0
#أتمنى أن أكون إنسانا من جديد أن أعيش مثل أي #شخص آخر أن #يكون لي بيت و #مستقبل أن أعيش #حياة عادية مثلما يعيش غيري أو أقل المهم دون #خوف,1,0,0,0
خوف ارتجاف رغبة بالبكاء حنين فراغ في الصدر تفتت القلب رعشة الاضلاع افكار انتحاريةوجوه عابرة اصوات راسخة اغاني تزيد الحنين وانفاس تهد الحيل,0,1,1,0
الشعب القطري مصدوم مهموم مغموم حالته يرثى لها الشعب السعودي من قو الصدمه قام يطقطق و ينكت تراه مو وقته والله 😕 👌 🏻 😒 #قطع_العلاقات_مع_قطر,0,1,1,0
اقدر اجزم ان ثلاث ارباعكم ما جرب شعور الكآبة والاغلبية آخذينها من باب الكشخه قرف يع,0,1,1,0
لسة فى أمل 😄\nطالما التفاؤل موجود 😊\nلعله خير ^_^,1,0,0,0
مهما كنت خائفه أن تغادرني يوما لايكاد يكون خوفي شيئا أمام رهبتي أن كل مافات لم يكن حبا وأنني لم أكن شيئا يلمس قلبك وتخيفك خسارته,0,0,1,0
ما كنت متخيل انها على ارض الواقع بهذا الجمال اه يا جماله بتزوجه خلاص لقيت اللي طولي عمري اتمناه و كان مالي المكان سعادة و متعة 😻 🔥,1,0,0,0
يوم يأخذ الموت شخص عزيز على قلبك وتشتاق له وصوتك ماينسمع ودموعك ماتوصله لاتقدر تراقبه من بعيد ولا حتى تتطمن في ذي اللحظه بتعرف شمعنى الفقد,0,0,1,0
انت مش بس بائس و وحيد وكاره حياتك لأ انت عليك امتحانات فاينل ولازم تدرس,0,0,1,0
بعد الفجر اللي الظالم وصله فأنا كشخص سلبي مكتئب شايفة ان مفيش فايدة وربنا كبير بقى,0,1,1,0
لدي تفاؤل بقووة بعد تولي فهد بن خالد الأهلي راح يغرد بكم تغريدة ترد الروح ( الله ينفع به ) الدعوة التي كان سر توفيقه في صفقاته #الملكي,1,0,0,0
راح يعيش غيري برعب وراح يرتكب كمان جريمة للمره الثانيه والثالثة والرابعه 👐🏻,0,1,0,0
"قد تصيبك الكآبة والحزن لأن من تحبه مصاب بها ""))",0,0,1,0
بس ان شاء الله كذب يعني بالله اش نوبة هلع انا بخير 💖,1,1,0,0
متطوعو الاردن الأن مع الاطفال يقضون ساعات من الفرح في حديقة الحيوان 😍 😍 #متطوعو_الاردن #تطوع #سعادة #احسان #نفطر_سوا,1,0,0,0
#ياعلي ونطوف في عالم الولاء ونتمعن برسم صورة الكل يطرق باب الاحزان شيعتك يا علي اليوم تبصم الحزن من حقيقة واقع يقرح الكون #حب الحسين,0,0,1,0
#عزله كل م ضقت احب اجلس وحيد لا حبيب ولا رفيق ولا خوي ✨,0,0,1,0
خلصني من هذا القلق يا الله وإملىء قلبي طمأنينة فإنك أعلم بما فيه يا لطيف ياودود 😪,1,0,1,0
كل عام وانت بخير وعيد سعيد وحياة مليئة بالافراح والمسرات ان شاء الله,1,0,0,0
جواايا دمعه وفيها صووت احساس غريب بيقولي مووت,0,1,1,0
💕 الشعر فضفضة عن صادق احساس الحنين حرف حزن وحرف شوق يعجب سامعه,0,0,1,0
اخ يالقهر لو كان اجنبي كان ضفه وزير الصحه علشان الدعايه والتبهرج ياويلهم من الله وهذا كا احد درى عنه وين الفلوب #سعودي_يناشدكم_بعد_احتراقه,0,0,1,0
والله ماأثارت الإ غضب وسواد وجيه من غضبوا,0,0,1,0
ألعن نفسي كلما رأيت الحزن يملأ وجهك أتمنى أن اخذك لحضني تاركا غضبي منك يتنحى جانبا تاركا العالم برمته جانبا,0,0,1,0
"أقسى شعور يخذلك شعور ""الاحتياج"" 💔",0,1,1,0
@wanees405 @Khalid_BinTalal اعوذبالله وش ذا القنوط ؟ الواحد يكون عنده حسن ظن بالله ✨,1,0,0,0
@nessrinyat يا ستي ماهى طول عمرها بتدلى بدلوها ماجتش على دى,0,1,0,0
@nadinenjeim #عرس_عليا_جبل زواج الملوك 😹😍😍😍😍😍❤ شو بدو يصبرنا لبكرا,0,1,0,0
لذلك كنت غاضب جدا من 25 يناير ومن كل من تسبب في فشلها لأني كنت عارف انها فرصتي الاخيرة للتخلص من غضبي وكرهي لمصر,0,1,1,0
