text,sentiment_id,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official,Surprise,Joking
با حبيبي دي مش كدبه دا حقيقي كورونا مش بيهزر اغسل ايديك وخليك البيت,Negative,0,0,0,0,1,0,1,0,0,0,0
اعراض الحظر المنزلي الاخلاق صارت تجاريه اله لايسامح كورونا الناس ماتحمل,Negative,0,0,0,0,0,0,1,0,0,0,0
اكبر وفيات سيكون امريكا لانها ديكتاتوريه الصين,Negative,0,0,0,1,0,0,0,1,0,0,0
وشبصير كورونا اختلط كورونا,Neutral,0,0,0,0,0,0,0,0,0,1,0
تحدير اعلنو كورونا معنها بيهجمو مكان واحتمال الوطيه لى يحلمو يخشوها لهدا خدو حدركم وتجهزو,Negative,0,0,0,0,1,0,0,1,0,0,0
الزمن ده زمن العدل اين مين عارف ربنا يجعل قضاه رحمه ويزهر جديد انقاض كورونا,Positive,1,0,1,0,0,0,0,0,0,0,0
اش دخل كورونا الراتب طيب علمونا باقي ان شاء اله ويروح ويذهب,Negative,0,0,0,0,0,1,1,0,0,0,0
مكن نفضل مانعين التجمعات نشغل المصانع الحظر بس مين يضمن منصحاش النوم نلاقي مظاهره كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
كرونا تاكل خشمك ياصديق رجل معوق,Joking,0,0,0,0,0,0,0,0,0,0,1
الواتس لازم يحجبونه مطلعين اشاعه ان بخور البان يقتل كورونا وامي صدقت وبخرت البيت بلبان حنا انكتمنا مو كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
قريت اكتشفت توقعت اكتشفتي علاج كورونا بس لاسف,Negative,0,0,0,1,0,1,0,0,0,0,0
يابنتي الطواري شخصوني حاله كورونا الموبايل وقالولي امشي لمستشفى لازم نقولهم,Negative,0,0,0,0,1,0,1,0,0,0,0
السياحه واقفه لازم يشغلوا الفنادق كورونا الكل بس,Negative,0,0,0,0,0,0,1,0,0,0,0
حالات كورونا ليبيا وكلها المنطقه الغربيه ان كورونا علاقه بالجنس الادمي,Negative,0,0,0,0,1,1,0,0,0,0,0
مسلسل سليمان الطيب طالعت لوين بتوصلينا كورونا,Negative,0,0,0,1,0,1,0,0,0,0,0
سمعنا صوت معهد الابحاث الفايروس كورونا علقو,Neutral,0,0,0,0,0,0,0,0,0,1,0
كورونا اتوقع سيتوجه العالم لطلب العلاج السعوديه بدل ا امريكا وغيرها وتصبح فخر ودخل لوطن يوازي البترول وغيره,Positive,1,1,0,0,0,0,0,0,0,0,0
حيل محظوظين ضفناج واحنا بازمه كورونا,Negative,0,0,0,0,0,1,0,0,0,0,0
دام هالشهر شهر الكذابين اتمنى كورونا تطلع كذبه ابريل,Neutral,0,0,0,0,0,0,0,0,0,1,0
الانتهاء الازمه يفتح بوابه لعالم جديد التركيبه الاجتماعيه والعلاقات الانسانيه,Neutral,0,0,0,0,0,0,0,0,0,1,0
حدثت اى حاله وفاه بقطاع غزه فيروس كورونا,Negative,0,0,0,0,1,0,0,0,0,0,0
الواحد مش عارف يخاف كورونا دماغ الناس دي,Joking,0,0,0,0,0,0,0,0,0,0,1
انت احمل عبء قلب ك وحده م درويش,Positive,0,0,1,0,0,0,0,0,0,0,0
انا متفايل كورونا انه هيخلصنا الظالمين ان شاء اله,Positive,1,0,0,0,0,0,0,0,0,0,0
الاسف الشديد تاكدت اصابتي بمرض كورونا احتاج دعواتكم,Negative,0,0,0,0,0,1,0,0,0,0,0
اخ كرونا فعل فعايل بالرجاله والستات,Joking,0,0,0,0,0,0,0,0,0,0,1
الطبيب علمه ديانته لابد طبيب توفي كرونا يقولوا ديانته اخي اتقي اله,Negative,0,0,0,0,0,0,1,0,0,0,0
العنصريه والك ب ر اخطر كرونا بكثير وسيتجل ى قادم الايام,Neutral,0,0,0,0,0,0,0,0,0,1,0
حظك تجيك كورونا لانك لسه,Joking,0,0,0,0,0,0,0,0,0,0,1
يشوف الناس مبتلشين وشايلين كورونا ينزل اغاني مهتم بالاوضاع,Negative,0,0,0,0,0,0,1,0,0,0,0
الهم تباشير الفرج برفع الوباء ان تشرق الدنيا بهلال رمضان,Positive,0,0,1,0,0,0,0,0,0,0,0
الازمات تكشف الحكومات باختصار اله عزنا مالحد من ه,Positive,1,1,0,0,0,0,0,0,0,0,0
الحظ ابرك لين كرونا,Joking,0,0,0,0,0,0,0,0,0,0,1
وردنا فيروس كورونا صناعه سعوديه لقضاء العالم وبالتحديد ايران الشريفه,Joking,0,0,0,0,0,0,0,0,0,0,1
جزاكم اله خيرا دكتورنا العطاء المبارك والاهم استمراره زوال كورونا,Positive,1,1,0,0,0,0,0,0,0,0,0
بكورونا كورونا يبقى الابتعاد الناس فكره عظيمه,Positive,1,0,0,0,0,0,0,0,0,0,0
ثقه بنفسك مكان طلعتي تعرضين نفسك وتسالين كورونا يفكنا الاشكال,Negative,0,0,0,0,0,0,1,0,0,0,0
يارب تخلص ازمه كورونا خير ابا امارس حياتي الطبيعيه,Positive,1,0,1,0,0,0,0,0,0,0,0
كورونا بيه استني بس اتجوز بس ونبقا نتخانق بعدين,Joking,0,0,0,0,0,0,0,0,0,0,1
فيروس كورونا اعاد الانسان المربع وخلق الانسان ضعيفا,Neutral,0,0,0,0,0,0,0,0,0,1,0
واله تلاقي جامعه كامبردج قفلت وجامعتنا بتنزل محاضرات زي القطر كورونا ونهايه عالم ايه ايه ابا عليا الطلاج لتزكروا,Joking,0,0,0,0,0,0,0,0,0,0,1
ان شاء اله يصحينا خبر علاج كورونا,Positive,1,0,1,0,0,0,0,0,0,0,0
باله اكتر يحرق ميتين كورونا اخي واله,Joking,0,0,0,0,0,0,0,0,0,0,1
الكرونا صاروا مواعين التقديم لمناسبات,Joking,0,0,0,0,0,0,0,0,0,0,1
التقليل العاملين الحظر يساعد الحمايه الاصابه بفايرس كورونا سيارات الاغاني المزعجه منع التجمعات العاملين,Positive,1,1,0,0,0,0,0,0,0,0,0
ياترى عندي ده برد كورونا استرها ولايانا يارب,Positive,0,0,1,0,0,0,0,0,0,0,0
واحنا يهمنا ايه الموضوع عنده كورونا معندوش,Neutral,0,0,0,0,0,0,0,0,0,1,0
واله كورونا حاسنا حوس اله يعينا ويصبرنا ويكتب اجرنا ويرزقنا صبرنا وبعدنا اهلنا,Positive,1,0,1,0,0,0,0,0,0,0,0
ايه دا كورونا بتكلم اشوف كورونا بتكلم,Joking,0,0,0,0,0,0,0,0,0,0,1
سجلنا هدف كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
غباء البنات اليدو السب فايروس كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
الفنانين يتجنبون السياسه وعلاقات دولهم الدول افضل اله حسبي الصين,Joking,0,0,0,0,0,0,0,0,0,0,1
علمتنا درسا غايه الاهميه تبقى وحيدا ستنجو وعندما تبع القطيع ستموت,Positive,1,0,0,0,0,0,0,0,0,0,0
عاجل اعتقد انا سنجح انتاج الالاف اجهزه التنفس الاصطناعي ونريد ان نساعد ودولا اخرى,Neutral,0,0,0,0,0,0,0,0,1,0,0
عيناك كفايروس كورونا تقتلني وقلبك ترامب يبالي,Neutral,0,0,0,0,0,0,0,0,0,1,0
ام نبي نعرف شنو سر اهل حايل شلون ماوصلكم كورونا علمونا,Joking,0,0,0,0,0,0,0,0,0,0,1
الدول اوشكت المجاعه كورونا اسبوع اكثر توقف حمله خليك البيت,Negative,0,0,0,1,1,0,0,1,0,0,0
مرض العنصريه اقوى واشد بمراحل كورونا,Negative,0,0,0,0,0,1,1,0,0,0,0
ياستي خليه يبص يعني تبقي كرونا وقله محن كمان ه,Joking,0,0,0,0,0,0,0,0,0,0,1
اتمنى كورونا يجيهم وربي امنيتي وبعدها يموتون ويفكونا شرهم,Negative,0,0,0,0,0,0,1,0,0,0,0
مصر فالمرتبه الاصابات بفيروس كورونا الهم اجعلنا تعودنا خارج التصنيف,Neutral,0,0,0,0,0,0,0,0,1,0,0
يحرقون جث ضحايا كورونا الشارع استجابه,Neutral,0,0,0,0,0,0,0,0,1,1,0
الخساير الارواح والاموال الحقها كرونا بالبشريه الا قرب الناس اله واعاد الكثير منهم الى ادميتهم,Positive,1,0,0,0,0,0,0,0,0,0,0
المفروض مواليد هالفتره اسمايهم محجور محجوره حجره حجر كمام معقم مواليد كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
علمي حلفا بس بدك الجد حدا خارب البلد الزمك باسيل مرض خبيث ومتفشي اكتر كورونا,Negative,0,0,0,1,0,0,1,0,0,0,0
حمله وعي الحشد الشعبي يتاهب لاطلاق عمليه كبرى لمواجه فيروس كورونا بغداد,Neutral,0,0,0,0,0,0,0,0,1,0,0
كورونا يابا علشان تبقي تاكل فراخ نيه,Joking,0,0,0,0,0,0,0,0,0,0,1
الجنوب جهاز اسمه الصبر لكشف حالات كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
كورونا الظاهر معد بيكون هوامير فرصتنا البيضات نظهر لساحه,Joking,0,0,0,0,0,0,0,0,0,0,1
تراكم اشغلتونا وياه قلع اله الوجيه كنها كورونا,Negative,0,0,0,0,0,0,1,0,0,0,0
عندي احساس بلي هاد سيمانه غيكولو لينا ان كورونا مجرد كذبه,Neutral,0,0,0,0,0,0,0,0,0,1,0
ازمه كورنا تعلمت بختصار القطاع الخاص ملعون خير,Negative,0,0,0,0,0,0,1,0,0,0,0
قلبي قاعد انتظر الحظه يعلنون شفاء حاله كورونا بالعالم وانعدام المرض ونرجع لحياتنا الطبيعيه والروتين اليومي,Positive,1,0,0,0,0,0,0,0,0,0,0
مرض تعالج بفلوسه كورونا صعب يرجعونه تخيلي بلدته فقيره ينشر الوباء لمساكين وباء مو مرض عادي,Negative,0,0,0,1,1,1,0,0,0,0,0
ريت نخص دقايق لندعي ربنا يخلصنا هالبلاء العظيم كورونا شلتنا,Positive,0,0,1,0,0,0,0,0,0,0,0
اعلى يسجل بوباء كورونا سجلت امريكا اصابه بالاضافه حاله وفاه جديده,Neutral,0,0,0,0,0,0,0,0,1,0,0
الواء الرابع بالحشد يتصدى لتعرض ارهابي بحيره حمرين,Neutral,0,0,0,0,0,0,0,0,1,0,0
وش تفكرين اكيد كورونا والاقتصاد العالمي,Joking,0,0,0,0,0,0,0,0,0,0,1
سيبهم المرض ينتشر دا اخطر كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
ه اريد بالعراقي ماخذ ورق خاف بيهن كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
لابد مرخان يلعن الشيطان الشيطان يلعن مرخان,Negative,0,0,0,0,0,0,1,1,0,0,0
الصحه يكول الناس التزموا واله عطف علينه مكن بنص نتخلص كورونا,Positive,1,0,0,0,0,0,0,0,0,0,0
ابريل مايعرف بكذبه ابريل وحضرت المعتاد كورونا ليعيش العالم بواقعيه مولمه,Negative,0,0,0,0,0,1,1,0,0,0,0
لسا معزول حسبي اله كورونا,Negative,0,0,0,0,0,0,1,0,0,0,0
استاذه مسك توقعين نهايه كورونا السعوديه وعوده الحياه طبيعيه,Neutral,0,0,0,0,0,0,0,0,0,1,0
ختخل ص فقره كورونا والحظر بنز ل عشا بالفريج بوفيه فريجنا اخره وبحسب حساب القطع الاخرى,Positive,1,0,0,0,0,0,0,0,0,0,0
عايزه اقول كورونا عامله مسافه صحابي القريبين مضايقاني يعني عايزه ابوس صاحبتي واحضنها ليه اسلم بعيد كده بجد,Negative,0,0,0,0,0,1,0,0,0,0,0
بحكي اهلي كورونا بس بصدقوني,Joking,0,0,0,0,0,0,0,0,0,0,1
اله اكبر الجزاير تعلن ايجاد دواء لفيروس كورونا يد فريق بحث يقوده العالم لوط بوناطيرو,Positive,1,0,0,0,0,0,0,0,0,0,0
الحوثين قالوا لاهل السجناء طالبوهم باطلاق سراح ابنايهم خوفا كورونا رد الحوثين بان المعتقلين حجر صحي بالسجن,Negative,0,0,0,0,0,1,1,0,0,0,0
الصحه احذروا مندوب التوصيل رسمي سبا نقل عدوى كورونا,Neutral,0,0,0,0,0,0,0,0,1,0,0
الح ب اهخ ابوسك ثانيه ودقيقه انا كورونا ترا كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
اكيد يموت كورونا تنتعش وتحيا الريتين,Negative,0,0,0,0,1,1,0,0,0,0,0
فكينا مالنا خلق نزورك السجن تعرفين كورونا وخايفين,Negative,0,0,0,0,1,0,0,0,0,0,0
احلى خبر سمعته شفاء حاله كورونا لحاج,Positive,1,0,0,0,0,0,0,0,0,0,0
كورنا ماينتقل طريق البث ماعليك ماتمشي,Joking,0,0,0,0,0,0,0,0,0,0,1
فوايد كورونا طل عت حقيقتهم ونقص عقولهم,Positive,1,0,0,0,0,0,0,0,0,0,0
نحكي قريتها نسيتها بس كورونا زي الطاعون,Neutral,0,0,0,0,0,0,0,0,1,1,0
مغتمشي هاد كورونا يطير لينا الفربخ ه,Joking,0,0,0,0,0,0,0,0,0,0,1
علمتنا الصبر علمتنا التسامح انفسنا,Positive,1,1,0,0,0,0,0,0,0,0,0
اول حاله اصابه بفايروس كورونا باقليم الحوز اوريكه الدواوير نسال اله العفوا والعافيه,Neutral,0,0,0,0,0,0,0,0,1,0,0
كورونا العالم الايام وبيغيرها لابد مابيرجع لوضعه كورونا الهم اكتب لامه الخير ونطلع سالمين الايام الجايه,Negative,0,0,0,0,1,0,0,0,0,0,0
ايطاليا تنكس اعلامها لمواساه اسر ضحايا والطواقم الطبيه,Neutral,0,0,0,0,0,0,0,0,1,0,0
ه و الح ي ا له ا ل ا ه و ف ادعوه م خل صين ل ه الد ين الح مد ل ل ه ر ب العال مين غافر,Positive,0,0,1,0,0,0,0,0,0,0,0
بالفعل كورونا نعمه له خلقه شون وعسى ان تكرهوا شيا خير صبح اله بالخير,Positive,1,0,1,0,0,0,0,0,0,0,0
قسمه جاتا كرونا قدر اله قدر اله حعرس وحموت بي وراها,Negative,0,0,0,1,1,0,0,0,0,0,0
كورونا جايكم باذن اله خلينا نشوف الحمار سلمان مالت م ايش يسوي,Negative,0,0,0,0,0,0,1,1,0,0,0
دعواتنا الايام يارب ارفع عنا رمضان,Positive,1,0,1,0,0,0,0,0,0,0,0
ايه كورونا بير ا ولات عفريت,Joking,0,0,0,0,0,0,0,0,0,0,1
تمنيت هالاوضاع عايشينها كورونا يطلع كذبه ابريل,Neutral,0,0,0,0,0,0,0,0,0,1,0
يعلم الخرا كورونا جايحه عالميه,Negative,0,0,0,1,0,1,1,0,0,0,0
الهم شل اطرافك الهم اجعل كورونا تعبث بجسدك يامفسد يابن سته وستين كلب يتم ابلاغ الجهات المختصه وسوف تحاسب عجل,Negative,0,0,0,0,0,0,1,0,0,0,0
الكويت بلد الانسانيه ازمه كورونا والاعمال الخيريه كثيره,Positive,1,1,0,0,0,0,0,0,0,0,0
كورونا ستعيد ترتيب العلاقات تغير موازين القوى العالم,Positive,1,0,0,0,0,0,0,0,0,0,0
رفيقتي عم تقلي امها بتضل تقلها شو بكي بتضلي قاعده بالبيت بتضهري,Joking,0,0,0,0,0,0,0,0,0,0,1
كورونا رحمه لمومنين الهم ردنا ردا جميلا,Positive,0,0,1,0,0,0,0,0,0,0,0
فاضل ترامب يحد سرعه الكرونا السبرتو بيترش الايد مبيتشربش,Joking,0,0,0,0,0,0,0,0,0,0,1
ظهور سلاله جديده الحمى القرمزيه,Neutral,0,0,0,0,0,0,0,0,1,0,0
ياتي اله الا الخير خير يعلمه الا المولى عز وجل,Positive,1,0,0,0,0,0,0,0,0,0,0
ان شاء اله نخلص كورونا والامور ترجع لطبيعتها وناخد افريقيا,Positive,1,0,0,0,0,0,0,0,0,0,0
يجماعه طالع اشحت حد عايز يشحت معايه كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
عقبالك كورونا وسرطان وشل,Negative,0,0,0,0,0,0,1,0,0,0,0
كورونا مطول اتوقع الحج بيلتغي الموسم,Negative,0,0,0,1,0,0,0,0,0,0,0
التصاريح الرسميه الصينيه رحيل كورونا والانتصار الا ان تحفظ البيانات الاعلاميه الحكوميه الصينيه,Negative,0,0,0,1,1,0,0,1,0,0,0
تشتهر غزه ترى تشتهر غزه بظهور فايروس كورونا ليلا ويكون مستقر يلامس,Joking,0,0,0,0,0,0,0,0,0,0,1
شكرا فيروس كورونا عرفني اكتر العالم,Joking,0,0,0,0,0,0,0,0,0,0,1
كورونا نقعد هالحزه نتوهق,Joking,0,0,0,0,0,0,0,0,0,0,1
هناك ارتفاع لشعبيه اترامب التقارير لحسن تعامله ازمه كورونا وتوقعته الصايبه,Neutral,0,0,0,0,0,0,0,0,1,1,0
طفش طفش طفش طفش كورونا خير,Negative,0,0,0,0,0,0,1,0,0,0,0
ياخي ناس ودي امسكهم اقول ليهم ترا كورونا كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
شفاء احدى حالات الاصابه ب ليبيا ب هكي يتقلص العد حالات,Positive,1,0,0,0,0,0,0,0,0,0,0
حوشنا دراما يحس راسه يقولي فيا كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
اصبري شويه كرونا هتطيرنه الدنيا,Joking,0,0,0,0,0,0,0,0,0,0,1
الاكيد ان معركه العالم فايروس كورونا مطوله اله يحمينا ويحمي العالم,Positive,0,0,1,0,0,0,0,0,0,0,0
جماعه طالع اشحت حد عايز يشحت معايه كورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
شفاء احدي حالات المصابه بفيروس كورونا ونقص العد حالات,Positive,1,0,0,0,0,0,0,0,0,0,0
يلتفت خايف كورونا معذرين يلتفتون اله يحفظ الجميع,Positive,0,0,1,0,0,0,0,0,0,0,0
الموسوس باقي الا الكوي اصبرو ونشوف كورونا خامته يكويه ابو خليف,Negative,0,0,0,0,0,0,1,0,0,0,0
الهدف المنشود كورونا,Neutral,0,0,0,0,0,0,0,0,0,1,0
انعزل لاني اصير اخطر كورونا احبهم اساميهم عزيزه قلبي اباه,Joking,0,0,0,0,0,0,0,0,0,0,1
بعدما تخلص جايحه كورونا لازم نعالج جايحه الوزن تصير والاكتياب,Negative,0,0,0,0,0,1,1,0,0,0,0
وينكم ربع عمري بقى صك بابه,Negative,0,0,0,0,0,1,0,0,0,0,0
تمنع اي انسان يدخل اليمن وتسمح بالخروج الحسد حارق حرق الا مارحم اله منهم,Negative,0,0,0,0,0,0,1,0,0,0,0
يارب انتا عارف العريش بتاعت حوارات مش بتاعت كرونا,Negative,0,0,0,0,1,1,0,0,0,0,0
العالم م قبل شي اكبر كورونا,Negative,0,0,0,0,1,0,0,0,0,0,0
يات رى الاهم لكندا,Neutral,0,0,0,0,0,0,0,0,0,1,0
خد بالك عمال تمط الاجازه وتديني ايحاء هتلغي التيرم وانا مش بذاكر ولو ملغتش فعلا مكن يجيلي كورونا الصدمه,Joking,0,0,0,0,0,0,0,0,0,0,1
انهم يسقطون اسقطت كورونا وجوه الكثيرين فابتسم صديقي,Positive,1,0,1,0,0,0,0,0,0,0,0
الجاره الكبري حالهطوارى تفشي فيروس كرونا وجنوها يسرحون ويمرحون باراضينا,Negative,0,0,0,0,0,0,1,0,0,0,0
الصحه بغزه اصابتين جديدتين بفيروس كورونا المحجورين العايدين قطاع غزه معبر رفح حالتهما مستقره ومطمينه,Neutral,0,0,0,0,0,0,0,0,1,0,0
واله ماعندهم عقل مايصدقون فعلا نتفعكم مانتشرت كورونا الحد ايران,Negative,0,0,0,0,0,0,1,0,0,0,0
واحده فعلا ولدت توام سمت فايروس والتانى كورونا الخبر حقيقى الصين تقريبا,Joking,0,0,0,0,0,0,0,0,0,0,1
الاضرار الكبيره نزلت وستنزل اميركا فايروس الا انها تستطيع النهوض مجدا زواله وبسرعه فايقه,Positive,1,0,0,0,0,0,0,0,0,0,0
ال هم ان الوباء وامره يديك فح ل وبينه بلطفك وسترك وعفوك ورحمتك واحمي بلادنا شره وبلايه,Positive,0,0,1,0,0,0,0,0,0,0,0
عصيده دخن اتنين صباحا اله يلعن كورونا,Negative,0,0,0,0,0,0,1,0,0,0,0
بيخلص كورونا اروح اسوي تيك توك يعني ماعندي تهديد اقوى,Joking,0,0,0,0,0,0,0,0,0,0,1
يهديني ايتونز,Neutral,0,0,0,0,0,0,0,0,0,1,0
تخيلو الستينات يصل الينا كورونا السرعه الفضاوه فكرت كذا,Neutral,0,0,0,0,0,0,0,0,0,1,0
تباعدنا ترى الود واصل ظروف الوقت ولا كورونا لو سك رت ابواب كل التواصل بامر الولي انعود لي احترونا,Positive,1,0,0,0,0,0,0,0,0,0,0
مشكله كورونا بالمرض بحد بالاثار المصاحبه هلع الناس الاعلام يضخم ويبالغ,Negative,0,0,0,0,1,0,0,1,0,0,0
عندنا شايب مسوي ظريف الحين اسمه كورونا مكرونه هخ اشوف شايب دلوع تفو,Joking,0,0,0,0,0,0,0,0,0,0,1
فكره رايده ومتطوره وجميله,Positive,1,1,0,0,0,0,0,0,0,0,0
بسنا عاد كورونا واله اشتقت لجم,Negative,0,0,0,0,0,1,0,0,0,0,0
معليش نقعد نفكر الارنبيط احسن نفكر كورونا اهم حاجه ترضوا وفرنالكم فلوس الشغاله,Joking,0,0,0,0,0,0,0,0,0,0,1
توقعاتي انتهاء ازمه كورونا مصالحه عربيه دول الخليج وقطر الخليج الجديد قادم,Positive,1,0,0,0,0,0,0,0,0,0,0
اتوقع كورونا كذبه متفقين الدول عشان يخفون حركه السيارات عشان طبقه الامازون تضرت الكفايه,Negative,0,0,0,0,0,0,0,1,0,0,0
المقطع محزن ولاسف انتشار كورونا يسب الخوف لبعض وخصوصا مصاب بكورونا حدود الاسره والاصدقاء والمعارف,Negative,0,0,0,0,1,1,0,0,0,0,0
دي مقدمه لاول روايه ليك كورونا ان شاء اله,Positive,1,0,0,0,0,0,0,0,0,0,0
وسع الدافنيه واله حق وهواء نظيف وهما سارقين سارقين يدفوها دماغ كورونا وخلاص الدعوه الظالم,Negative,0,0,0,0,0,0,1,1,0,0,0
روعه باذن اله كورونا نزوره مسموح,Positive,1,0,0,0,0,0,0,0,0,0,0
اطلق حسين الجسمي اغنيه جديده حملت اسم متحدين لتكون جزءا حمله اطلقتها الامارات لحد انتشار فيروس كورونا البلاد,Neutral,0,0,0,0,0,0,0,0,1,0,0
مين مثلي ينتظرها تكح مرضى كورونا يكحون الا صامده,Neutral,0,0,0,0,0,0,0,0,0,1,0
ضغط جامعه وسوسه كورونا وحجر منزلي ومنع تجول محتاجه يسلفني الصبر واله,Negative,0,0,0,1,0,1,0,0,0,0,0
دول العالم حاله تكاتف كورونا واميركا تصدر الموت اميركا تبحث مصالحها ونصح الاطراف ان تراهن الا شعبها,Negative,0,0,0,0,0,0,1,1,0,0,0
يتوقع الخبراء الوفيات بفيروس كورونا المستجد الامريكين يتراوح الف شخص,Negative,0,0,0,0,1,0,1,0,0,0,0
فاضين وميلادك الناس متازمه كورونا والحجر المنزلي وانت داخل عرض ايش ميلاد المزاين يع يع,Negative,0,0,0,0,0,0,1,0,0,0,0
نايم جنب موزه خايف كورونا شفتوا تربيه الطفل تميم العار,Negative,0,0,0,0,0,0,1,1,0,0,0
كورونا كورونا الابتعاد الناس دايما فكره جيده,Positive,1,0,0,0,0,0,0,0,0,0,0
كورونا خبطت الروس والشعب الامريكي لايخفاكم كلمه توديه وكلمه تجيبه,Negative,0,0,0,0,0,1,1,0,0,0,0
اص بيخلص كرونا شاءاله والكرونا حت الشهر,Positive,1,0,0,0,0,0,0,0,0,0,0
ايروس كورونا صاير الشماعه حمال الاسيه يحدث العالم يلزقونه بظهره,Negative,0,0,0,0,0,0,1,1,0,0,0
الكاين العلماني والملحد كاينات تحير الفتره دي تعرف تطلب منهم الدعاء تعرف تطلب منهم الدواء,Neutral,0,0,0,0,0,0,0,0,0,1,0
حسين الجسمي شكر فايروس كورونا هنخلص لابد,Joking,0,0,0,0,0,0,0,0,0,0,1
جنوبي اقص ايدي القات اكبر وسيله انتشار كورونا فحاول تهداء,Negative,0,0,0,0,0,0,1,0,0,0,0
نتوقع موت امريكي يتم الالتزام بالحجر المنزلي الجماعي نكن نتوقع كورونا الشراسه,Neutral,0,0,0,0,0,0,0,0,1,0,0
جايحه كورونا المستفيد الوحيد كوكب الارض,Joking,0,0,0,0,0,0,0,0,0,0,1
الحكومه توفير علاج الكلوروكين لعلاج فايروس كورونا تستخدمه الدول تعاني فايروس كورونا,Neutral,0,0,0,0,0,0,0,0,1,1,0
بندعمهم وما يدعمونا اعتقد مافيش اخوه ماعندنعي يفترسهم كرونا يعمل بقدر المروه الشاعر بدر احمد الكهالي,Negative,0,0,0,0,0,0,1,0,0,0,0
يارب اليمن احميها وباء كورونا بعينك لاتنام وكل الدول العربيه والاسلاميه,Positive,0,0,1,0,0,0,0,0,0,0,0
ثلاجه السبيل يستخدمونها ناس وايد اذا مكن حد يفيدنا مكن تساهم نقل ايروس كورونا,Negative,0,0,0,0,1,0,0,0,0,0,0
حياه الفهد خلها تكشف كورونا مسخنه,Joking,0,0,0,0,0,0,0,0,0,0,1
بديت نشك ليبيا مافيهش كورونا لعبه سياسيه مواطنين,Negative,0,0,0,0,0,0,1,1,0,0,0
